
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAOM          STNM =    70200    TIME = 200107/1200         
 SLAT =  64.50     SLON =  -165.43   SELV =     7.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1024.00   247.45   244.55    76.60    -1.45    -0.53     7.00
   1020.00   253.65   248.85    65.66    -1.82    -0.46    35.71
   1016.00   254.25   248.25    59.11    -2.20    -0.33    64.92
   1005.00   254.05   250.45    73.15    -3.14     0.42   145.92
   1000.00   253.85   249.95    71.20    -3.48     0.93   183.00
    995.00   253.45   249.05    68.01    -3.33     0.89   220.27
    983.69   252.73   250.02    78.87    -2.98     0.80   305.00
    973.00   252.05   250.95    90.83    -3.31     1.14   385.93
    968.00   251.65   249.95    86.11    -3.45     1.31   423.96
    962.00   251.25   250.45    93.21    -3.61     1.54   469.79
    958.00   251.05   249.35    86.04    -3.71     1.70   500.47
    954.00   250.85   249.95    92.36    -3.80     1.86   531.25
    951.00   250.85   248.85    83.74    -3.87     1.99   554.41
    949.00   250.85   247.15    71.83    -3.91     2.08   569.89
    943.84   250.85   246.12    65.36    -4.01     2.32   610.00
    943.00   250.85   245.95    64.36    -4.07     2.25   616.52
    925.00   250.05   245.65    67.19    -5.13     0.45   758.00
    920.00   250.05   245.65    67.19    -5.39     0.47   797.74
    905.58   250.85   246.19    65.75    -6.16     0.54   914.00
    888.00   251.85   246.85    64.03    -4.94    -0.39  1058.26
    868.87   251.49   246.94    66.65    -3.48    -0.93  1219.00
    867.00   251.45   246.95    66.92    -3.49    -0.87  1234.87
    850.00   251.85   246.85    64.03    -3.59    -0.31  1381.00
    847.00   251.65   246.65    63.98    -3.67    -0.42  1407.07
    823.00   253.25   245.25    48.97    -4.20    -1.39  1619.56
    815.00   253.25   246.25    53.69    -4.32    -1.78  1692.00
    800.04   252.30   246.66    60.48    -4.46    -2.57  1829.00
    793.00   251.85   246.85    64.03    -4.68    -3.06  1894.38
    773.00   251.85   245.85    58.43    -5.06    -4.64  2082.77
    772.00   252.05   246.05    58.48    -5.07    -4.72  2092.32
    767.66   252.38   246.05    56.82    -5.10    -5.10  2134.00
    759.00   253.05   246.05    53.63    -4.50    -4.08  2217.92
    756.00   253.05   245.05    48.90    -4.26    -3.74  2247.27
    754.00   253.25   239.25    27.66    -4.11    -3.52  2266.90
    750.00   253.05   245.05    48.90    -3.77    -3.09  2306.33
    741.00   252.65   245.65    53.51    -2.95    -2.17  2395.72
    736.77   252.43   245.21    52.37    -2.53    -1.77  2438.00
    722.00   251.65   243.65    48.46    -2.33    -2.74  2587.52
    716.00   251.45   244.45    53.14    -2.14    -3.14  2648.99
    706.89   250.77   244.34    55.82    -1.74    -3.73  2743.00
    700.00   250.25   244.25    57.97    -1.41    -3.87  2815.00
    664.00   248.05   242.05    57.32    -1.94    -4.45  3200.36
    649.95   246.90   241.19    58.58    -2.18    -4.67  3353.00
    622.76   244.59   239.46    61.26    -1.20    -4.47  3658.00
    571.82   239.99   236.01    67.36     2.91    -2.91  4267.00
    564.00   239.25   235.45    68.45     2.33    -2.99  4365.33
    552.00   238.05   233.55    63.40     1.48    -2.93  4515.66
    531.00   236.65   231.65    59.78     0.28    -2.36  4785.30
    523.99   236.08   231.42    61.82    -0.00    -2.06  4877.00
    507.00   234.65   230.85    67.27     1.51    -0.76  5104.53
    500.00   234.25   229.55    60.99     1.54    -0.00  5200.00
    496.00   234.05   225.05    37.93     1.57     0.01  5255.12
    490.00   233.25   228.25    58.74     1.62     0.02  5338.47
    487.00   233.05   230.55    76.86     1.64     0.03  5380.43
    477.00   232.25   227.95    63.10     1.72     0.05  5521.91
    462.00   231.05   228.25    73.99     1.85     0.10  5738.84
    459.00   230.85   227.15    66.99     1.87     0.11  5782.94
    452.00   230.05   226.25    66.03     1.93     0.13  5886.74
    450.00   229.85   226.15    66.72     1.95     0.14  5916.62
    438.12   228.22   225.78    76.34     2.05     0.18  6096.00
    434.00   227.65   225.65    80.11     1.81     0.36  6159.34
    429.00   227.45   224.55    72.35     1.50     0.51  6236.62
    420.00   226.45   224.05    76.34     0.93     0.60  6377.65
    418.52   226.33   223.61    73.55     0.84     0.59  6401.00
    415.00   226.05   222.55    67.20     1.29     0.78  6457.06
    409.00   225.25   222.25    70.99     2.12     0.98  6553.37
    406.00   225.05   220.75    60.93     2.56     1.01  6601.95
    403.00   224.65   220.85    64.50     3.02     1.00  6650.83
    400.00   224.45   219.45    55.89     3.48     0.93  6700.00
    397.00   224.45   205.45     9.19     3.74     0.89  6749.47
    396.00   224.25   195.25     2.08     3.83     0.87  6766.04
    391.00   224.05   215.05    34.15     4.28     0.77  6849.43
    388.00   223.65   208.65    15.59     4.55     0.68  6899.91
    384.00   223.25   213.25    29.81     4.91     0.54  6967.71
    377.00   222.85   212.85    29.65     5.54     0.23  7087.86
    367.00   222.05   208.05    17.29     6.42    -0.37  7262.95
    364.07   221.82   208.40    18.63     6.66    -0.58  7315.00
