
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PABE          STNM =    70219    TIME = 200107/1200         
 SLAT =  60.78     SLON =  -161.84   SELV =    33.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1018.00   243.05   240.25    76.49    -2.68    -1.54    33.00
   1005.00   243.85   240.95    75.91    -5.79    -6.43   125.11
   1000.00   245.05   241.65    72.59    -6.20    -8.86   161.00
    996.00   247.05   243.05    69.01    -6.70    -8.88   189.83
    993.00   247.25   243.45    70.37    -7.07    -8.88   211.63
    986.00   247.65   244.15    72.47    -7.98    -8.84   262.81
    982.00   248.45   243.45    63.14    -8.51    -8.77   292.29
    980.29   248.74   243.84    63.80    -8.74    -8.74   305.00
    975.00   249.65   245.05    65.86    -8.13    -8.31   344.38
    961.00   249.85   244.85    63.51    -6.54    -7.11   450.00
    940.22   250.79   244.85    58.43    -4.30    -5.12   610.00
    939.00   250.85   244.85    58.14    -4.27    -5.09   619.52
    925.00   252.25   244.25    48.65    -3.97    -4.73   730.00
    911.00   253.65   245.65    49.09    -3.26    -4.87   843.08
    905.00   253.25   246.25    53.69    -2.96    -4.89   892.17
    902.36   253.60   246.50    53.29    -2.83    -4.90   914.00
    880.00   256.65   248.65    50.04    -1.90    -4.31  1101.54
    866.39   257.25   248.50    46.95    -1.41    -3.87  1219.00
    862.00   257.45   248.45    45.98    -1.73    -3.89  1257.28
    850.00   257.05   247.05    41.88    -2.66    -3.79  1363.00
    820.00   256.45   247.45    45.66    -2.62    -4.18  1633.24
    807.00   255.85   246.85    45.47    -2.59    -4.35  1753.15
    798.86   255.55   244.02    35.90    -2.58    -4.46  1829.00
    791.00   255.25   241.25    28.31    -2.24    -4.08  1903.04
    786.00   255.05   242.05    31.09    -2.03    -3.82  1950.43
    768.00   254.25   235.25    17.03    -1.35    -2.86  2123.21
    767.00   254.25   235.25    17.03    -1.31    -2.81  2132.91
