
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PANC          STNM =    70273    TIME = 200107/1200         
 SLAT =  61.16     SLON =  -150.01   SELV =    40.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1011.00   250.65   248.15    80.03    -0.25    -0.44    40.00
   1008.00   253.45   252.45    91.73    -0.68    -1.00    65.35
   1006.00   254.65   253.25    88.72    -1.01    -1.34    82.43
   1000.00   254.65   252.15    80.67    -2.18    -2.18   134.00
    998.00   254.85   248.85    59.28    -1.54    -2.52   148.95
    992.00   254.85   249.85    64.80     0.42    -2.51   194.00
    988.00   255.25   249.25    59.39     1.36    -1.82   224.20
    983.00   255.65   250.75    65.58     1.83    -0.62   262.19
    977.40   255.81   247.63    48.99     1.45     0.53   305.00
    976.00   255.85   246.85    45.47     1.49     0.45   315.76
    969.00   255.85   247.85    49.79     1.65     0.03   369.74
    938.34   254.60   247.30    52.61     0.70    -1.94   610.00
    925.00   254.05   247.05    53.94     1.06    -2.90   717.00
    904.00   253.65   247.65    58.94     0.43    -3.51   887.74
    900.81   253.79   247.44    57.13     0.31    -3.59   914.00
    886.00   254.45   246.45    49.35     0.41    -3.37  1037.39
    871.00   254.25   246.25    49.29     0.50    -3.14  1164.59
    864.65   253.98   245.65    47.72     0.54    -3.04  1219.00
    852.00   253.45   244.45    44.68    -0.53    -2.59  1328.56
    850.00   253.25   246.25    53.69    -0.67    -2.48  1346.00
    849.00   253.45   247.45    58.88    -0.81    -2.47  1354.73
    846.00   253.45   246.45    53.75    -1.26    -2.37  1381.01
    842.00   253.85   250.05    71.83    -1.84    -2.11  1416.21
    836.00   253.45   250.05    74.34    -2.59    -1.44  1469.34
    829.00   253.05   249.25    71.66    -3.15    -0.33  1531.70
    823.00   252.85   246.85    58.71    -3.24     0.82  1585.51
    814.00   253.05   243.05    40.55    -2.57     2.52  1666.95
    812.00   253.45   248.55    65.03    -2.29     2.86  1685.20
    809.00   253.25   247.25    58.83    -1.78     3.29  1712.66
    796.37   252.45   247.71    65.69     1.07     3.98  1829.00
    787.00   251.85   248.05    71.40     2.20     4.16  1916.57
    784.00   251.85   246.85    64.03     2.60     4.15  1944.74
    779.00   251.65   248.15    73.31     3.28     4.06  1991.91
    764.04   250.91   247.51    73.86     5.35     3.09  2134.00
    733.00   249.32   246.15    75.08     3.97     4.73  2438.00
    724.00   248.85   245.75    75.46     5.09     4.94  2528.50
    717.00   249.25   244.45    64.54     6.03     4.96  2599.35
    702.99   248.10   244.61    72.67     8.03     4.63  2743.00
    700.00   247.85   244.65    74.57     8.47     4.89  2774.00
    696.00   247.65   244.85    77.35     8.65     4.86  2815.65
    663.00   245.45   243.35    82.21    10.23     4.42  3166.98
    642.00   244.05   241.55    78.92    11.27     3.98  3398.07
    630.00   243.45   238.85    64.24    11.88     3.66  3532.98
    619.03   242.96   237.93    61.44    12.43     3.33  3658.00
    595.00   241.85   235.85    55.43    12.66     2.32  3939.81
    589.00   241.65   235.65    55.37    12.70     2.06  4011.68
    578.00   241.05   236.05    61.08    12.77     1.57  4145.13
    576.00   241.05   235.05    55.18    12.78     1.48  4169.64
    574.00   241.05   215.05     5.76    12.79     1.39  4194.23
    573.00   241.05   209.05     2.65    12.80     1.34  4206.56
    568.11   240.66   213.52     4.93    12.82     1.12  4267.00
    563.00   240.25   218.25     9.23    12.78     1.00  4330.82
    559.00   240.05   215.05     6.34    12.74     0.91  4381.03
    556.00   240.05   222.05    14.76    12.72     0.84  4418.92
    553.00   239.85   227.85    28.96    12.69     0.76  4456.99
    551.00   239.65   225.65    23.14    12.67     0.72  4482.47
    549.00   239.65   230.65    39.96    12.65     0.67  4508.03
    542.00   239.25   222.25    16.33    12.58     0.50  4598.15
    541.00   239.25   222.25    16.33    12.57     0.48  4611.11
    532.00   238.25   226.25    28.39    12.48     0.27  4728.57
    527.00   237.85   222.85    20.10    12.43     0.15  4794.50
    525.00   237.65   225.65    28.18    12.41     0.10  4821.01
    520.80   237.48   225.48    28.12    12.36    -0.00  4877.00
    520.00   237.45   225.45    28.11    12.44    -0.04  4887.68
    517.00   237.45   220.45    15.80    12.73    -0.20  4927.98
    511.00   236.65   220.65    17.53    13.30    -0.54  5009.13
    509.00   236.65   228.65    43.36    13.50    -0.66  5036.35
    508.00   236.45   228.45    43.29    13.59    -0.72  5049.99
    502.00   236.25   219.25    15.45    14.17    -1.12  5132.35
