
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LBSF          STNM =    15614    TIME = 200107/1200         
 SLAT =  42.65     SLON =    23.38   SELV =   595.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    955.00   274.15   265.15    51.04    -0.00    -1.00   595.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   218.00
    934.00   271.25   265.25    63.54     0.70    -1.55   768.10
    925.00   270.65   264.65    63.39     1.15    -1.64   843.00
    897.00   268.05   264.35    75.24     0.15    -3.81  1085.83
    853.00   264.65   259.65    67.16    -5.30    -4.25  1478.66
    850.00   264.65   257.65    57.00    -5.73    -4.02  1506.00
    844.00   265.13   250.95    31.00    -6.55    -4.59  1560.94
    840.00   265.45   246.45    20.21    -6.65    -4.88  1597.79
    813.00   265.08   239.79    11.09    -7.07    -7.07  1850.98
    769.00   264.45   228.45     3.62    -9.03    -4.31  2282.19
    757.00   263.62   227.35     3.43    -9.40    -3.42  2403.09
    735.00   262.05   225.30     3.09    -8.66    -5.00  2629.81
    724.00   261.25   224.25     2.92    -8.11    -9.10  2745.73
    720.00   261.51   227.81     4.26    -7.46   -10.65  2788.16
    706.00   262.45   240.45    14.53    -9.63   -10.70  2938.55
    700.00   261.85   242.85    19.18   -10.61   -10.61  3004.00
    652.00   259.05   251.05    50.78   -11.00   -12.07  3545.92
    600.00   257.05   243.05    28.90   -11.31   -13.86  4174.16
    563.00   252.65   239.65    30.29   -11.44   -15.27  4649.23
    556.00   252.85   228.85     9.80   -11.45   -15.55  4741.83
    536.00   251.12   225.40     7.78   -11.47   -16.38  5010.36
    514.00   249.15   221.45     5.90    -7.61   -16.31  5317.58
    500.00   247.85   218.85     4.87   -10.50   -18.19  5520.00
    479.00   246.05   217.05     4.61   -12.34   -20.25  5829.34
    446.00   242.85   218.85     7.73   -15.64   -23.52  6338.74
    427.00   240.21   217.41     8.36   -17.78   -25.39  6643.20
    400.00   236.25   215.25     9.48   -17.78   -25.39  7100.00
    341.00   227.49   212.05    15.88   -10.57   -22.66  8177.25
    318.00   223.65   210.65    20.33   -12.14   -23.09  8648.64
    300.00   222.25   206.25    13.21   -13.50   -23.38  9030.00
    297.00   222.25   206.25    13.21   -13.42   -23.91  9095.38
    279.00   221.38   203.20     9.53   -12.68   -27.19  9499.90
    254.00   220.07   198.62     5.68   -11.50   -19.92 10107.30
    250.00   219.85   197.85     5.19   -12.00   -20.78 10210.00
    226.00   217.05   196.05     5.52    -7.25   -27.05 10855.81
    223.00   217.49   195.61     4.88    -9.92   -27.25 10941.55
    200.00   221.05   192.05     1.81    -4.92   -18.35 11640.00
    195.00   221.40   192.05     1.73    -2.95   -16.74 11803.53
    186.00   222.05   192.05     1.61    -3.69   -17.40 12108.73
    173.00   221.92   191.58     1.51    -4.92   -18.35 12577.35
    165.00   221.83   191.27     1.45    -4.79   -13.16 12883.56
    152.00   221.67   190.74     1.35    -0.96   -10.96 13414.33
    150.00   221.65   190.65     1.34     0.96   -10.96 13500.00
    148.00   221.65   190.65     1.34     4.65    -9.97 13587.03
    137.00   219.16   189.72     1.54     2.59    -9.66 14084.15
    134.00   218.45   189.45     1.60     3.03   -11.29 14226.67
    130.00   220.46   190.15     1.41     3.62   -13.52 14422.36
    125.00   223.05   191.05     1.21     6.31    -9.01 14675.62
    118.00   221.35   190.38     1.32     5.00    -8.66 15046.07
    113.00   220.06   189.87     1.42     3.83    -3.21 15324.38
    112.00   219.80   189.77     1.44     3.46    -2.00 15381.52
    111.00   219.54   189.67     1.46     4.70    -1.71 15439.17
    105.00   217.89   189.02     1.59     7.25    -3.38 15796.38
    100.00   216.45   188.45     1.72     6.88    -9.83 16110.00
     91.00   214.05   187.05     1.83     4.10   -11.28 16706.77
     90.18   214.16   187.06     1.80     8.49    -8.49 16764.00
     85.95   214.75   187.09     1.69     4.10   -11.28 17069.00
     81.91   215.33   187.13     1.58     3.36   -12.56 17374.00
     74.41   216.51   187.20     1.38     0.70    -7.97 17983.00
     70.91   217.09   187.24     1.29    -1.29    -4.83 18288.00
     70.00   217.25   187.25     1.27     5.98    -0.52 18370.00
     67.58   217.38   187.27     1.26     6.00    -0.00 18593.00
     61.38   217.72   187.33     1.22     4.83    -1.29 19202.00
     58.49   217.89   187.36     1.20     1.55    -5.80 19507.00
     55.74   218.06   187.39     1.18     3.44    -4.91 19812.00
     50.00   218.45   187.45     1.14    -0.00    -5.00 20500.00
     48.26   218.30   187.37     1.14    -1.71    -4.70 20726.00
     46.00   218.09   187.25     1.15     0.44    -4.98 21031.00
     43.84   217.88   187.14     1.15    -0.00    -0.00 21336.00
     39.83   217.47   186.92     1.17     2.50    -4.33 21946.00
     37.98   217.27   186.80     1.17     2.59    -9.66 22250.00
     36.20   217.06   186.69     1.18     0.61    -6.97 22555.00
     34.50   216.85   186.58     1.19     1.71    -4.70 22860.00
     31.35   216.44   186.35     1.20     0.64    -0.77 23470.00
     30.00   216.25   186.25     1.21    -4.50    -5.36 23750.00
     29.89   216.30   186.28     1.20    -1.29    -4.83 23774.00
     25.93   218.34   187.26     1.11    -9.85    -1.74 24689.00
     24.73   219.01   187.58     1.09    -0.26    -0.97 24994.00
     20.46   221.72   188.89     0.99     2.50     4.33 26213.00
     20.00   222.05   189.05     0.98     3.00     5.20 26360.00
