
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = VPS           STNM =    72221    TIME = 200107/1800         
 SLAT =  30.48     SLON =   -86.51   SELV =    29.0
 STIM =  1900

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1019.00   291.15   272.15    27.55     2.00    -7.46    29.00
   1011.00   288.95   272.95    33.58     1.72    -6.42    91.58
   1000.00   288.15   273.15    35.87     1.33    -4.97   178.00
    984.93   286.90   272.88    38.12     2.18    -4.67   305.00
    949.66   283.91   272.22    44.25     1.07    -6.09   610.00
    925.00   281.75   271.75    49.41     2.13    -7.96   830.00
    915.59   280.90   271.17    50.14     2.40    -8.95   914.00
    890.00   278.55   269.55    52.28     2.30    -8.57  1147.04
    882.17   278.05   267.80    47.46     2.26    -8.45  1219.00
    859.00   276.55   262.55    35.08     4.69   -11.52  1435.58
    854.00   276.55   259.55    27.57     5.33   -12.13  1482.90
    850.00   277.55   246.55     8.37     5.87   -12.60  1521.00
    847.00   278.55   237.55     3.31     6.28   -12.40  1549.76
    823.00   280.75   231.75     1.57     9.33   -10.31  1784.90
    818.60   281.13   232.13     1.59     9.83    -9.83  1829.00
    816.00   281.35   232.35     1.60     9.52    -9.95  1855.12
    788.53   280.05   231.05     1.53     6.18   -10.70  2134.00
    759.64   278.64   229.64     1.45     8.27   -11.80  2438.00
    731.72   277.23   228.23     1.37    10.25    -8.60  2743.00
    704.83   275.81   226.81     1.30    10.56   -10.56  3048.00
    700.00   275.55   226.55     1.29    10.92   -10.92  3104.00
    653.27   272.72   223.72     1.15    16.02   -11.22  3658.00
    649.00   272.45   223.45     1.13    16.46   -11.35  3710.63
    604.21   268.83   223.40     1.47    21.40   -12.35  4267.00
    558.65   264.86   223.34     1.98    25.20   -11.75  4877.00
    500.00   259.25   223.25     3.07    31.28    -2.74  5740.00
    476.66   256.46   219.46     2.48    32.95    -0.00  6096.00
    433.00   250.85   211.85     1.56    36.45     3.50  6811.51
    409.00   249.65   228.65    12.70    38.34     5.89  7228.22
    400.00   248.25   237.25    35.24    39.04     6.88  7390.00
    391.00   246.85   238.85    46.88    39.04     6.88  7555.14
    389.00   246.65   245.95    93.78    39.04     6.88  7592.25
    387.51   246.65   245.18    87.34    39.04     6.88  7620.00
    384.00   246.65   243.35    73.62    39.51     6.97  7685.81
    353.00   241.85   236.85    61.31    43.85     7.73  8288.57
    312.16   234.91   232.14    75.13    50.20     8.85  9144.00
    301.00   232.85   230.75    80.16    51.61    13.42  9397.30
    300.00   232.65   230.45    79.28    51.72    13.86  9420.00
    299.00   232.65   228.25    62.53    51.78    13.98  9442.76
    294.00   233.85   191.85     0.43    52.09    14.63  9558.00
    292.00   233.85   208.85     5.29    52.22    14.89  9604.77
    259.00   227.51   208.85    10.39    54.18    19.72 10412.31
    251.00   225.85   208.85    12.49    52.89    19.25 10623.59
    250.00   225.85   207.85    10.91    52.73    19.19 10650.00
    249.31   225.80   207.70    10.75    54.18    19.72 10668.00
    200.00   221.45   195.45     2.97    50.31    18.31 12110.00
    197.44   221.07   195.07     2.92    50.31    18.31 12192.00
    157.00   214.25   188.25     2.19    41.01     7.54 13653.68
    155.45   214.34   187.90     2.04    40.55     7.15 13716.00
    150.00   214.65   186.65     1.58    38.02     6.70 13940.00
    146.00   215.45   185.45     1.16    36.78     7.29 14110.27
    134.08   212.25   185.18     1.65    32.82     8.79 14630.00
    121.33   208.50   184.86     2.56    33.38    12.15 15240.00
    104.45   202.89   184.39     5.14    31.80     2.78 16154.00
    100.00   201.25   184.25     6.35    29.03    10.56 16420.00
     99.34   200.97   184.14     6.49    29.91     5.27 16459.00
     96.30   199.65   183.65     7.21    32.32     8.66 16640.70
     94.31   199.93   183.53     6.77    29.84     7.99 16764.00
     89.55   200.61   183.24     5.81    32.82     8.79 17069.00
     70.00   203.85   181.85     2.81    20.79     3.67 18520.00
     65.71   204.30   181.55     2.50    20.79     3.67 18898.00
     62.45   204.66   181.31     2.27    20.08    -0.00 19202.00
     59.34   205.03   181.06     2.06    22.56     1.97 19507.00
     53.58   205.76   180.58     1.70    15.72    -2.77 20117.00
     50.91   206.12   180.34     1.54    10.44     2.80 20422.00
     50.00   206.25   180.25     1.49     9.68     3.52 20530.00
