
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LCH           STNM =    72240    TIME = 200701/1800         
 SLAT =  30.11     SLON =   -93.21   SELV =    10.0
 STIM =  1800

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1015.00   304.75   297.75    66.47     3.54     5.06    10.00
   1007.00   302.75   295.75    66.07     4.14     7.27    77.67
   1000.00   301.75   295.75    70.01     4.35     9.33   137.00
    998.00   301.55   295.55    69.97     4.50     9.20   154.88
    981.23   300.14   295.32    74.90     5.61     8.01   305.00
    948.01   297.28   294.84    86.25     7.17     5.02   610.00
    942.00   296.75   294.75    88.56     7.28     5.10   666.35
    925.00   295.75   292.45    81.62     7.59     5.32   826.00
    915.72   295.24   291.68    80.26     7.59     5.32   914.00
    907.00   294.75   290.95    78.98     8.17     5.72   997.44
    889.00   293.75   288.85    73.49     9.37     6.56  1171.59
    884.15   293.75   287.70    68.25     9.70     6.79  1219.00
    876.00   293.75   285.75    60.11    10.10     7.07  1299.22
    869.00   294.55   277.55    32.83    10.44     7.31  1368.68
    853.00   294.55   274.55    26.54    11.24     7.87  1529.53
    850.00   294.35   274.35    26.49    11.39     7.97  1560.00
    823.84   292.71   269.00    19.78    13.37     7.72  1829.00
    815.00   292.15   267.15    17.81    13.02     7.07  1921.84
    801.00   291.15   273.15    29.63    12.41     6.07  2070.13
    795.01   290.77   272.39    28.72    12.13     5.65  2134.00
    770.00   289.15   269.15    25.04    10.46     4.88  2406.25
    767.12   288.96   270.39    27.82    10.27     4.79  2438.00
    764.00   288.75   271.75    31.16    10.30     4.44  2472.59
    744.00   287.55   266.55    22.79    10.22     2.22  2696.87
    739.93   287.23   267.57    25.16    10.14     1.79  2743.00
    729.00   286.35   270.35    32.82     9.31     1.64  2868.35
    719.00   285.75   264.75    22.30     8.54     1.51  2984.26
    713.54   285.27   263.66    21.14     8.11     1.43  3048.00
    710.00   284.95   262.95    20.41     8.08     1.61  3089.65
    700.00   283.95   268.95    34.63     7.96     2.13  3208.00
    698.00   283.75   269.75    37.26     7.73     2.26  3231.82
    684.00   282.35   270.35    42.79     6.04     2.90  3400.08
    663.00   280.35   268.35    42.20     3.55     2.98  3657.47
    662.96   280.35   268.34    42.16     3.55     2.98  3658.00
    648.00   279.55   263.55    30.80     4.08     3.07  3845.32
    615.14   276.23   263.44    38.51     5.35     3.09  4267.00
    588.00   273.35   263.35    46.98     5.37     1.45  4632.72
    570.26   271.59   260.88    43.90     5.13     0.45  4877.00
    563.00   270.85   259.85    42.64     4.63     0.27  4979.23
    551.00   269.45   262.45    58.30     3.78     0.04  5149.83
    529.00   266.85   260.85    62.45     2.14    -0.18  5470.11
    514.00   266.65   254.65    37.97     0.99    -0.15  5694.94
    510.00   266.05   257.05    48.66     0.68    -0.11  5755.90
    507.71   265.76   258.85    57.69     0.50    -0.09  5791.00
    502.00   265.05   263.35    87.55     2.36    -1.49  5878.97
    500.00   265.05   263.45    88.24     2.76    -2.31  5910.00
    491.00   264.05   261.25    80.10     3.04    -1.93  6050.85
    488.13   263.72   261.03    80.79     3.12    -1.80  6096.00
    469.00   261.45   259.55    85.78     4.50    -3.16  6403.80
    465.00   261.45   257.15    70.41     4.77    -3.48  6469.41
    462.00   261.65   250.65    39.73     4.97    -3.73  6518.98
    459.00   261.65   245.65    25.32     5.16    -3.99  6568.87
    455.00   261.45   247.45    30.33     5.40    -4.35  6635.87
    451.00   261.05   243.05    20.84     5.64    -4.72  6703.38
    447.00   260.45   242.45    20.66     5.87    -5.11  6771.36
    440.00   259.65   249.65    42.73     6.23    -5.82  6891.49
    436.00   259.45   250.45    46.62     6.43    -6.25  6960.88
    434.00   259.65   245.65    29.75     6.52    -6.47  6995.81
    433.19   259.49   247.11    34.45     6.55    -6.55  7010.00
    433.00   259.45   247.45    35.64     6.56    -6.56  7013.33
    431.00   259.25   251.25    50.84     6.60    -6.60  7048.48
    425.00   258.45   248.45    42.34     6.73    -6.73  7154.71
    416.00   257.05   249.05    50.16     6.92    -6.92  7316.21
    404.00   255.45   242.45    31.22     7.19    -7.19  7535.73
    400.00   254.65   243.65    37.42     7.28    -7.28  7610.00
    399.46   254.60   243.60    37.40     7.28    -7.28  7620.00
    398.00   254.45   243.45    37.35     7.37    -7.26  7647.37
    392.00   253.45   247.45    58.88     7.74    -7.14  7760.37
    383.38   252.36   248.23    69.45     8.28    -6.95  7925.00
    381.00   252.05   248.45    72.74     8.13    -7.01  7971.14
    380.00   252.25   248.65    72.78     8.07    -7.03  7990.56
    376.00   252.05   244.05    48.58     7.81    -7.12  8068.73
    363.00   250.25   224.25     7.38     6.96    -7.36  8327.51
    360.00   249.85   224.85     8.19     6.76    -7.40  8388.27
    358.00   249.65   233.65    21.57     6.63    -7.43  8429.01
    352.88   248.74   237.27    33.78     6.29    -7.49  8534.00
    349.00   248.05   240.05    47.28     6.77    -7.70  8614.55
    345.00   248.05   230.05    17.04     7.28    -7.90  8698.29
    339.00   247.85   220.85     6.18     8.09    -8.16  8825.65
    324.36   244.73   220.65     8.04    10.25    -8.60  9144.00
    324.00   244.65   220.65     8.09    10.24    -8.63  9151.92
    311.00   243.45   206.45     1.48     9.79    -9.92  9444.51
    300.00   241.25   205.25     1.55     9.26   -11.04  9700.00
    292.00   239.85   203.85     1.46     9.64   -12.11  9890.50
    250.00   230.25   202.25     3.08    10.81   -18.72 10960.00
    246.00   229.45   201.45     2.99    11.07   -19.18 11068.73
    240.00   228.25   209.25    10.11    11.48   -19.88 11234.46
    238.44   227.88   207.02     7.79    11.59   -20.07 11278.00
    235.00   227.05   202.05     4.24    11.03   -19.52 11375.03
    207.41   220.85   198.95     5.44     6.74   -14.46 12192.00
    200.00   219.05   198.05     5.88    10.04   -14.34 12430.00
    179.74   213.66   197.47    10.49     6.87   -18.87 13106.00
    179.00   213.45   197.45    10.73     7.04   -18.76 13132.03
    160.00   209.05   196.05    15.36    11.01   -15.32 13825.74
    154.97   208.75   195.26    14.12    11.91   -14.19 14021.00
    150.00   208.45   194.45    12.95    10.26   -12.23 14220.00
    149.00   208.65   194.65    13.01    10.62   -12.65 14260.83
    144.00   207.25   192.25    10.70    12.45   -14.83 14468.56
    140.16   206.08   191.60    11.29    13.90   -16.56 14630.00
    126.53   201.67   189.13    13.99     8.86   -12.65 15240.00
    123.00   200.45   188.45    14.90     8.56   -12.23 15408.97
    122.00   201.05   190.05    17.88     7.80   -11.60 15456.93
    115.00   200.05   190.05    20.72     3.12    -6.38 15803.74
    114.10   201.85   190.95    18.48     2.61    -5.60 15850.00
    114.00   202.05   191.05    18.25     2.61    -5.60 15855.13
    112.00   202.85   190.85    15.73     2.65    -5.50 15960.00
    107.00   201.45   188.45    12.87     2.73    -5.26 16230.20
    102.00   202.25   187.25     9.32     2.80    -5.01 16512.90
    100.00   201.85   186.85     9.22     2.83    -4.90 16630.00
     88.34   203.94   184.42     4.44    -5.15    -8.92 17374.00
     83.97   204.79   183.42     3.29    -6.09     1.07 17678.00
     79.81   205.64   182.42     2.43    -4.84     1.76 17983.00
     75.86   206.50   181.43     1.80    -1.40     0.65 18288.00
     72.10   207.35   180.43     1.33   -11.84     0.00 18593.00
     70.00   207.85   179.85     1.11    -9.78     0.00 18770.00
     68.56   208.20   180.01     1.09    -5.81    -2.11 18898.00
     62.10   209.84   180.78     1.01    -9.23    -0.81 19507.00
     59.09   210.67   181.16     0.98    -8.44     5.91 19812.00
     56.24   211.49   181.54     0.94    -9.13    -1.61 20117.00
     50.94   213.14   182.31     0.88   -13.69     2.41 20726.00
     50.00   213.45   182.45     0.87   -14.70     2.59 20840.00
     46.22   214.07   182.91     0.87   -11.84     0.00 21336.00
     44.03   214.45   183.20     0.88   -12.92    -3.46 21641.00
     39.98   215.20   183.76     0.88   -16.73     2.95 22250.00
     36.29   215.96   184.33     0.89   -13.06     6.09 22860.00
     32.94   216.72   184.90     0.90    -9.27     0.00 23470.00
     30.00   217.45   185.45     0.90   -15.44     0.00 24060.00
     29.91   217.49   185.47     0.90   -15.44     0.00 24079.00
     28.53   218.12   185.87     0.90   -13.69     2.41 24384.00
     23.61   220.64   187.46     0.88   -12.04     6.95 25603.00
     21.47   221.90   188.25     0.87   -15.21     2.68 26213.00
     20.00   222.85   188.85     0.86   -13.92     3.73 26670.00
     19.55   223.27   189.14     0.86   -13.92     3.73 26822.00
     18.68   224.11   189.72     0.86   -12.17    -2.15 27127.00
     17.85   224.95   190.30     0.86   -15.00    -5.46 27432.00
     17.05   225.79   190.87     0.86   -20.07    -9.36 27737.00
     16.29   226.63   191.45     0.87   -16.79    -7.83 28042.00
     14.21   229.16   193.19     0.87   -17.95    -1.57 28956.00
     12.98   230.84   194.34     0.87   -24.33    -4.29 29566.00
     12.40   231.68   194.92     0.88   -21.28     7.75 29870.00
     11.32   233.36   196.08     0.88   -18.38     6.69 30480.00
     10.82   234.20   196.65     0.88   -20.39     5.46 30785.00
     10.00   235.65   197.65     0.89   -13.41    11.25 31310.00
