
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    89664    TIME = 200702/0000         
 SLAT = -77.85     SLON =   166.66   SELV =    24.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    993.00   265.65   264.75    93.26    -3.95     3.31    24.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -49.00
    992.00   268.65   262.65    62.90    -4.02     3.51    31.61
    954.00   267.23   259.80    55.76    -1.08    12.31   327.11
    939.00   266.65   258.65    53.03    -0.64    14.99   447.01
    925.00   265.65   258.65    57.28     0.00    17.50   560.00
    906.00   265.07   258.07    57.12     0.00    19.56   721.41
    899.00   264.85   257.85    57.06    -0.40    19.05   781.73
    881.00   262.65   257.65    66.70    -1.36    17.70   938.13
    871.00   263.25   257.25    61.54    -1.83    16.92  1026.13
    850.00   261.85   257.25    68.76    -2.68    15.21  1214.00
    827.00   260.19   256.87    76.11     0.00    11.33  1422.67
    780.00   256.65   256.05    95.10    -2.20     8.58  1867.76
    778.00   256.61   255.99    94.95    -2.26     8.45  1887.05
    759.00   256.18   255.39    93.54    -0.72     4.06  2072.81
    740.00   255.75   254.78    92.10     1.25     7.10  2263.27
    727.00   255.45   254.35    91.09     0.89     7.49  2396.42
    720.00   254.96   254.31    94.62     0.67     7.69  2468.77
    710.00   254.25   254.25   100.00    -1.16     8.93  2573.35
    700.00   253.45   253.45   100.00    -3.52     9.68  2679.00
    686.00   253.02   252.14    92.66    -7.38    10.54  2828.35
    652.00   251.94   248.85    76.09    -4.26    15.91  3204.13
    643.00   251.65   247.95    72.00    -5.75    13.72  3306.89
    629.00   252.27   247.72    66.80    -7.09    10.12  3469.28
    625.00   252.45   247.65    65.36    -6.59    10.04  3516.34
    607.00   251.45   244.45    53.14    -4.46     9.38  3731.82
    606.00   251.36   244.36    53.12    -4.35     9.33  3743.76
    545.00   245.88   238.88    51.39    -6.32     4.43  4511.99
    520.00   243.45   236.45    50.60    -4.29     4.75  4852.00
    516.00   242.98   235.98    50.45    -3.97     4.73  4906.73
    510.00   242.26   235.26    50.21    -2.39     5.13  4989.64
    506.00   241.78   234.78    50.05    -2.11     5.81  5045.45
    500.00   241.05   234.05    49.81    -3.26     7.00  5130.00
    460.00   235.65   233.15    77.37    -8.24     4.50  5711.77
    451.00   234.55   230.97    68.83    -9.19     3.34  5846.45
    416.00   230.05   222.05    40.95   -10.47     2.09  6397.05
    411.00   229.43   222.05    43.76   -10.65     1.88  6478.12
    400.00   228.05   222.05    50.85   -11.16     1.97  6660.00
    395.00   227.25   221.25    50.57   -11.46     2.31  6743.60
    366.00   222.50   217.04    52.21   -13.06     4.75  7236.77
    329.00   215.85   211.15    54.97   -12.47     4.54  7926.06
    307.00   211.65   205.76    45.37   -12.09     4.40  8357.52
    305.00   211.25   205.25    44.51   -11.59     4.88  8398.26
    300.00   210.45   204.45    44.18   -10.25     5.92  8500.00
    289.00   208.91   202.91    43.55    -7.89     6.62  8729.44
    283.00   208.05   202.05    43.20    -1.34     7.45  8858.30
    280.00   207.79   201.94    44.08     1.07     6.09  8923.04
    277.00   207.52   201.83    44.99     2.83     6.06  8988.47
    272.00   207.07   201.65    46.58     5.30     6.31  9099.12
    259.00   205.85   201.15    51.21     0.44    11.22  9396.62
    250.00   205.25   200.25    48.77    -5.65    12.13  9610.00
    245.00   205.11   198.01    35.54    -8.27    11.80  9731.77
    236.00   204.85   193.85    19.30    -8.07     7.56  9957.37
    230.00   203.93   193.81    21.84    -7.17     5.02 10110.47
    225.00   203.15   193.78    24.30    -4.00     4.00 10241.14
    211.00   200.85   193.70    33.40     1.16     6.59 10623.08
    204.00   199.65   193.65    39.61     0.00     8.75 10823.66
    200.00   200.05   192.05    28.83    -1.25     7.10 10940.00
    193.00   200.60   190.77    21.54     2.82     7.74 11149.08
    186.00   201.17   189.44    15.87    -0.54     6.16 11365.88
    185.00   201.25   189.25    15.18    -0.45     6.16 11397.51
    180.00   200.70   189.19    16.27     0.00     6.18 11557.42
    175.00   200.14   189.12    17.48    -1.76     4.84 11721.83
    167.00   199.21   189.01    19.71     2.06     2.95 11994.92
    156.00   197.85   188.85    23.55     4.63     2.65 12392.59
    154.00   198.11   189.11    23.66     5.13     2.39 12467.41
    150.00   198.65   189.65    23.88     7.47     3.48 12620.00
    147.00   198.79   189.51    22.83     8.40     3.92 12737.55
    144.00   198.94   189.36    21.81     7.14     4.12 12857.52
    137.00   199.28   189.02    19.51     1.87     6.96 13147.46
    130.00   199.65   188.65    17.36     3.05     6.09 13452.62
    128.00   199.30   188.59    18.12     3.34     5.79 13541.70
    112.00   196.24   188.08    26.44     2.57     4.46 14308.88
    110.00   195.83   188.01    27.86     4.30     5.12 14412.41
    102.00   194.10   187.73    34.80     0.00     6.18 14846.23
    100.00   193.65   187.65    36.92     1.16     6.59 14960.00
