
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LMN           STNM =    74646    TIME = 200702/1800         
 SLAT =  36.62     SLON =   -97.48   SELV =   317.0
 STIM =  1800

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    978.00   302.15   294.15    62.03    -7.14     4.12   317.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   118.00
    976.00   299.95   292.95    65.50    -7.00     3.84   335.13
    965.00   298.75   292.75    69.45    -6.10     2.46   434.92
    952.00   300.95   294.95    69.86    -4.76     1.17   554.62
    946.06   300.60   294.93    71.20    -4.06     0.72   610.00
    925.00   299.35   294.85    76.28    -3.37     2.36   809.00
    914.04   298.69   294.48    77.56    -3.37     2.36   914.00
    882.92   296.77   293.41    81.45    -1.96     4.20  1219.00
    870.00   295.95   292.95    83.19    -1.80     4.74  1348.83
    852.73   295.09   291.83    81.75    -1.46     5.47  1524.00
    850.00   294.95   291.65    81.52    -2.39     5.13  1552.00
    823.30   293.94   288.26    69.95    -2.32     4.01  1829.00
    798.00   292.95   284.95    59.93     1.05     3.09  2099.83
    794.85   292.95   284.32    57.48     1.31     2.80  2134.00
    793.00   292.95   283.95    56.08     1.42     2.67  2154.10
    766.99   290.97   281.44    53.61     1.94     0.70  2438.00
    740.00   288.85   278.74    50.98     3.98     1.07  2743.00
    713.95   286.72   276.04    48.40     4.67    -2.18  3048.00
    700.00   285.55   274.55    46.99     5.32    -1.94  3216.00
    697.00   285.15   274.15    46.88     5.43    -1.98  3251.99
    663.02   281.57   271.94    50.73     6.78    -2.47  3658.00
    638.66   278.89   270.29    53.95     8.62    -1.52  3962.00
    615.12   276.20   268.63    57.53     8.45    -2.26  4267.00
    570.62   270.82   265.31    65.89     7.96    -2.13  4877.00
    552.00   268.45   263.85    70.19     6.29    -2.77  5146.39
    549.50   268.26   263.91    71.53     6.06    -2.83  5182.00
    539.00   267.45   264.15    77.52     6.79    -2.73  5333.64
    525.00   266.85   260.85    62.45     7.79    -2.50  5539.75
    523.00   266.85   254.85    38.04     7.94    -2.45  5569.60
    520.00   266.25   259.25    57.44     8.16    -2.37  5614.52
    500.00   265.45   254.45    40.95     9.63    -1.70  5920.00
    488.79   264.57   248.26    25.52    10.14    -1.79  6096.00
    475.00   263.45   240.45    13.43     9.08     1.31  6318.27
    469.94   263.14   243.23    17.94     8.45     2.26  6401.00
    462.00   262.65   247.65    28.07     8.70     2.77  6532.56
    457.00   262.65   241.65    16.05     8.85     3.11  6616.46
    446.00   261.25   237.25    11.67     9.13     3.91  6803.78
    419.00   258.05   238.05    16.40     9.52     6.17  7279.66
    416.00   257.65   250.65    55.01     9.53     6.44  7334.06
    400.53   256.30   248.33    50.08     9.47     7.94  7620.00
    400.00   256.25   248.25    49.91     9.47     7.94  7630.00
    384.49   254.46   243.27    36.68     8.37     8.37  7925.00
    376.00   253.45   240.45    30.56    10.14     4.95  8091.69
    368.96   252.21   239.90    32.24    10.65     1.88  8230.00
    353.93   249.47   238.68    36.41    10.65     3.88  8534.00
    339.48   246.73   237.46    41.32    13.69     2.41  8839.00
    337.00   246.25   237.25    42.27    13.60     2.40  8892.57
    325.33   244.30   234.08    36.72    13.18     2.32  9144.00
    311.72   241.94   230.24    30.67    13.33    -1.17  9449.00
    309.00   241.45   229.45    29.52    11.97    -0.09  9511.66
    300.00   240.25   220.25    11.72     6.96     1.87  9720.00
    298.55   240.06   219.31    10.68     8.11     1.43  9754.00
    285.85   238.33   210.95     4.44     3.54     5.06 10058.00
    281.00   237.65   207.65     3.06     4.46     3.68 10177.70
    273.51   236.17   207.10     3.29     4.97     1.33 10363.00
    261.63   233.74   206.18     3.72     8.72    -0.76 10668.00
    250.26   231.31   205.27     4.23    14.19    -2.50 10973.00
    250.00   231.25   205.25     4.24    14.36    -1.26 10980.00
    201.00   220.05   202.05     9.45    18.44    -0.04 12417.97
    200.00   219.65   200.65     8.08    18.53    -0.00 12450.00
    198.50   219.33   200.46     8.16    19.05    -0.00 12497.00
    163.36   211.07   195.59    10.94    11.13     4.05 13716.00
    150.00   207.45   193.45    12.64    13.43     3.60 14250.00
    140.83   205.98   193.55    15.72    14.70     2.59 14630.00
    133.88   204.80   193.64    18.78    12.09     4.40 14935.00
    133.00   204.65   193.65    19.22    12.92     4.05 14974.96
    127.21   203.91   192.00    16.32    18.02    -0.00 15240.00
    120.85   203.07   190.09    13.44    18.25    -3.22 15545.00
    115.00   202.25   188.25    11.07     4.67     2.18 15840.33
    114.81   202.27   188.21    10.97    10.14    -1.79 15850.00
    109.08   202.78   186.89     8.11     6.16     0.54 16154.00
    100.00   203.65   184.65     4.83     6.59     1.16 16670.00
     98.45   203.83   184.57     4.64     8.68     7.28 16764.00
     93.60   204.43   184.32     4.07     6.59     1.16 17069.00
     84.60   205.62   183.81     3.14     5.57     0.98 17678.00
     80.43   206.21   183.55     2.76    -4.84     1.76 17983.00
     76.46   206.81   183.30     2.43    -9.19     3.34 18288.00
     72.69   207.41   183.04     2.14    -6.69     3.86 18593.00
     70.00   207.85   182.85     1.94    -7.93     3.70 18820.00
     69.12   208.09   182.87     1.89    -4.22     2.95 18898.00
     65.79   209.03   182.92     1.68    -8.62     1.52 19202.00
     62.60   209.97   182.98     1.50    -9.07     7.61 19507.00
     59.58   210.92   183.04     1.34    -4.12     7.14 19812.00
     56.69   211.86   183.10     1.20    -2.95     4.22 20117.00
     53.95   212.80   183.16     1.07    -4.97    -1.33 20422.00
     51.35   213.74   183.22     0.96    -8.11    -1.43 20726.00
     50.00   214.25   183.25     0.91    -5.32     1.94 20890.00
     48.90   214.52   183.35     0.89    -6.78     2.47 21031.00
     46.61   215.10   183.55     0.86    -4.01     2.32 21336.00
     44.43   215.68   183.76     0.83    -4.12    -7.14 21641.00
     40.38   216.84   184.17     0.77   -13.85    -1.21 22250.00
     38.49   217.43   184.38     0.75   -11.16     1.97 22555.00
     36.69   218.01   184.58     0.72    -7.72     0.00 22860.00
     33.33   219.17   185.00     0.68    -7.58    -4.37 23470.00
     31.78   219.75   185.20     0.66   -11.79    -1.03 23774.00
     30.29   220.33   185.41     0.63   -10.77     0.94 24079.00
     30.00   220.45   185.45     0.63   -11.29     0.99 24140.00
     27.57   221.33   185.70     0.59   -11.29    -0.99 24689.00
     23.94   222.79   186.12     0.54   -15.91     4.26 25603.00
     20.79   224.25   186.54     0.49   -14.70    -2.59 26518.00
     20.00   224.65   186.65     0.48   -11.15     6.44 26770.00
