
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    76679    TIME = 200702/1800         
 SLAT =  19.40     SLON =   -99.20   SELV =  2313.0
 STIM =  1800

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    777.00   297.55   282.55    38.57    -0.73    -0.73  2313.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    59.00
    925.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   772.00
    850.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00  1523.00
    776.00   292.55   282.55    52.35    -0.73    -0.74  2324.08
    700.00   284.35   279.85    73.80    -0.53    -1.99  3191.00
    662.00   279.95   277.15    82.33    -4.05    -0.98  3654.65
    655.00   279.15   276.65    83.98    -4.57    -0.15  3742.10
    645.00   278.24   275.56    82.80    -4.97     1.33  3868.24
    644.00   278.15   275.45    82.68    -5.02     1.32  3880.96
    636.00   278.15   270.15    56.22    -5.37     1.16  3983.19
    632.00   279.15   260.15    24.14    -5.54     1.08  4034.80
    568.00   273.40   260.07    36.03    -8.11    -1.43  4898.04
    554.00   272.05   260.05    39.67    -7.83    -1.16  5099.82
    525.00   269.22   255.65    34.01    -7.18    -0.63  5524.57
    500.00   266.65   251.65    29.33    -8.86    -4.13  5910.00
    490.00   266.04   249.01    24.34    -8.44    -5.91  6066.74
    471.00   264.85   243.85    16.64   -10.27    -6.52  6373.56
    465.00   264.45   254.45    44.26   -10.88    -6.69  6472.62
    456.00   264.05   237.05     9.17   -11.82    -6.91  6623.41
    454.00   263.79   237.97    10.25   -12.04    -6.95  6657.16
    441.00   262.05   244.05    21.13   -11.60    -5.51  6880.20
    439.00   261.85   250.85    39.79   -11.51    -5.29  6914.96
    400.00   257.25   246.25    38.29    -9.13    -1.61  7620.00
    398.00   256.97   246.09    38.60    -9.63    -1.70  7657.59
    383.00   254.85   244.85    41.16 -9999.00 -9999.00  7945.70
    379.00   254.65   243.65    37.42 -9999.00 -9999.00  8024.04
