
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PKWA          STNM =    91366    TIME = 200703/0000         
 SLAT =   8.73     SLON =   167.73   SELV =     8.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1010.00   301.75   295.75    70.01     0.54     3.04     8.00
   1000.00   300.75   295.75    74.21     0.36     4.10    96.00
    925.00   296.95   286.95    53.49     3.26     7.00   783.00
    850.00   292.55   288.05    75.20    -4.73     4.73  1517.00
    700.00   283.95   279.85    75.79    -8.47     4.89  3168.00
    500.00   270.25   229.25     2.54   -12.57    -4.58  5900.00
    400.00   259.05   238.05    15.11   -15.48    -5.63  7630.00
    300.00   242.85   239.45    72.10    -8.21    -0.72  9740.00
    250.00   232.65   228.45    63.90   -12.57     4.58 11000.00
    200.00   218.85   214.05    55.32    -7.28     7.28 12480.00
    150.00   205.25   197.25    31.05    -1.58    -4.35 14260.00
    102.00   194.85   186.85    26.57   -12.48     7.21 16507.54
    100.00   195.05   187.05    26.66   -14.03     5.11 16620.00
     70.00   199.65   189.65    20.56    -2.11    -5.81 18690.00
     50.00   207.25   188.25     5.49   -25.64    -2.24 20680.00
     40.60   212.12   187.34     2.46   -32.43     0.00 21984.12
     30.20   219.05   186.05     0.83   -15.44     0.00 23837.24
     30.00   219.05   188.05     1.17   -15.44     0.00 23880.00
     20.00   222.25   195.25     2.62   -16.41    -1.44 26490.00
