
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PHLI          STNM =    91165    TIME = 200703/1200         
 SLAT =  21.99     SLON =  -159.34   SELV =    30.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1013.00   298.35   294.25    78.03    -2.76    -2.31    30.00
   1011.00   298.95   294.25    75.29    -2.85    -2.45    47.77
   1000.00   297.55   293.05    76.00    -3.27    -3.27   146.00
    981.88   296.19   292.72    80.83    -3.97    -4.73   305.00
    948.04   293.58   292.09    91.17    -4.37    -4.37   610.00
    925.00   291.75   291.65    99.38    -5.06    -3.54   824.00
    915.36   291.40   291.30    99.37    -5.48    -3.84   914.00
    903.00   290.95   290.85    99.37    -5.72    -3.46  1030.76
    883.33   289.82   289.72    99.37    -6.06    -2.83  1219.00
    872.00   289.15   289.05    99.36    -4.48    -3.92  1329.34
    852.21   286.99   286.89    99.35    -1.58    -4.35  1524.00
    850.00   286.75   286.65    99.35    -1.58    -4.35  1546.00
    849.00   286.95   286.95   100.00    -1.64    -4.23  1555.92
    831.00   285.95   285.85    99.35    -2.00    -2.12  1736.22
    821.71   284.95   282.25    83.49    -1.69    -1.18  1829.00
    791.88   281.67   270.40    44.99    -3.08     0.27  2134.00
    763.23   278.40   258.60    22.41    -1.03    -1.78  2438.00
    756.00   277.55   255.55    18.45    -1.26    -2.55  2516.56
    737.00   276.35   252.35    15.27    -1.36    -4.75  2722.33
    735.12   276.50   252.05    14.72    -1.33    -4.97  2743.00
    707.99   278.69   247.67     8.56    -0.63    -7.18  3048.00
    700.00   279.35   246.35     7.25    -0.63    -7.18  3140.00
    698.00   279.55   244.55     6.06    -0.41    -7.03  3163.37
    691.00   280.95   249.95     8.99     0.28    -6.43  3245.93
    685.00   285.15   252.15     8.23     0.78    -5.86  3318.10
    682.10   284.90   251.50     7.91     0.98    -5.57  3353.00
    657.27   282.75   245.86     5.50    -0.00    -5.15  3658.00
    610.37   278.46   234.60     2.47    -0.00    -5.15  4267.00
    603.00   277.75   232.75     2.14     0.81    -4.75  4366.97
    587.92   276.33   241.08     5.46     2.06    -3.57  4572.00
    586.00   276.15   242.15     6.12     2.11    -3.59  4598.42
    573.00   274.35   258.35    29.23     2.46    -3.73  4778.98
    566.03   273.65   254.17    21.66     2.66    -3.79  4877.00
    565.00   273.55   253.55    20.68     2.63    -3.77  4891.64
    561.00   273.75   238.75     5.23     2.52    -3.67  4948.48
    552.00   272.65   252.65    20.43     2.27    -3.45  5077.64
    547.00   272.85   239.85     6.22     2.13    -3.32  5150.19
    524.24   270.48   238.43     6.44     1.55    -2.68  5486.00
    504.39   268.34   237.14     6.65     4.35    -1.58  5791.00
    500.00   267.85   236.85     6.70     4.47    -1.20  5860.00
    485.05   266.41   232.48     4.78     4.06    -0.72  6096.00
    448.46   262.68   221.18     1.83     2.11    -1.47  6706.00
    437.00   261.45   217.45     1.29     1.59    -1.57  6907.37
    414.19   258.18   220.84     2.53     0.65    -1.40  7315.00
    400.00   256.05   223.05     3.91     1.47    -2.11  7580.00
    397.82   255.70   223.20     4.09     1.65    -1.97  7620.00
    366.07   250.36   225.49     8.41     2.66    -3.79  8230.00
    336.90   245.02   227.78    17.57     5.32    -1.94  8839.00
    336.00   244.85   227.85    18.00     5.37    -1.99  8858.63
    328.00   243.25   233.25    37.18     5.80    -2.48  9030.85
    322.79   242.39   231.11    32.25     6.06    -2.83  9144.00
    308.00   239.85   224.85    20.74     5.90    -3.16  9475.86
    300.00   238.05   224.05    22.61     5.79    -3.34  9660.00
    285.00   235.05   222.05    24.28     5.36    -4.85 10013.63
    263.00   231.65   213.65    12.45     3.89    -7.07 10559.98
    258.80   230.70   214.60    15.53     3.48    -7.47 10668.00
    250.00   228.65   216.65    24.97     4.38    -7.58 10900.00
    241.00   226.45   215.45    27.41     4.21    -7.29 11144.75
    236.12   225.51   214.29    26.32     4.12    -7.14 11278.00
    215.06   221.20   208.98    21.63    10.27    -4.79 11887.00
    205.22   219.04   206.32    19.47     8.86    -6.20 12192.00
    200.00   217.85   204.85    18.33     8.44    -5.91 12360.00
    198.00   217.45   205.45    20.93     8.47    -5.18 12424.16
    186.32   215.04   203.48    21.36     7.60    -1.34 12802.00
    168.94   211.16   200.30    22.13    12.67    -2.23 13411.00
    150.00   206.45   196.45    23.25    10.26    -0.90 14150.00
    145.69   206.49   195.88    21.16     9.23    -0.81 14326.00
    130.00   206.65   193.65    14.56     7.10     5.96 15014.01
    125.17   205.30   192.03    13.51     5.32     7.59 15240.00
    118.93   203.48   189.84    12.16     3.86     6.69 15545.00
    113.00   201.65   187.65    10.90     5.10     5.10 15850.36
    101.90   201.28   188.20    12.64     2.98    -0.80 16459.00
    101.00   201.25   188.25    12.81     2.78    -0.62 16511.46
    100.00   201.25   188.25    12.81     2.53    -0.45 16570.00
     50.00   211.85   185.85     1.96    -8.62    -1.52 20730.00
     30.00   217.65   185.65     0.91   -11.44     3.06 23950.00
     20.00   221.85   186.85     0.68   -16.41     1.44 26560.00
     10.00   232.05   189.05     0.32   -22.06     1.93 31160.00
