
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =     3354    TIME = 200704/0000         
 SLAT =  53.00     SLON =    -1.25   SELV =     0.0
 STIM =  2300

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    995.00   287.95   286.15    88.97     4.34     3.64     0.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    72.00
    992.00   287.77   286.08    89.61     3.97     4.73    30.25
    976.00   286.79   285.70    93.16     9.26    11.04   193.12
    955.00   285.48   285.20    98.19    13.80    11.58   410.99
    953.00   285.35   285.15    98.69    14.24    11.49   431.98
    937.00   285.01   284.92    99.43    17.83    10.29   600.62
    925.00   284.75   284.75   100.00    18.66     8.70   729.00
    923.00   284.55   284.55   100.00    19.01     8.15   747.13
    908.00   284.75   284.65    99.34    21.09     3.56   884.41
    903.00   286.19   284.98    92.37    21.54     1.88   930.91
    899.00   287.35   285.25    87.18    21.46     1.88   968.29
    894.00   287.55   284.65    82.72    21.36     1.87  1015.49
    877.00   286.71   284.04    83.88    21.03     1.84  1177.36
    856.00   285.66   283.27    85.39    19.77     3.49  1381.70
    850.00   285.35   283.05    85.84    20.28     3.58  1441.00
    794.00   282.24   280.52    88.93    18.46     1.61  2009.66
    782.00   281.55   279.95    89.66    18.15     2.32  2136.72
    775.00   281.35   279.25    86.60    17.95     2.73  2211.19
    757.00   280.15   278.65    90.17    17.39     3.76  2405.29
    743.00   279.48   277.84    89.22    16.90     4.53  2558.73
    728.00   278.75   276.95    88.19    17.32     3.55  2726.37
    714.00   278.15   275.35    82.09    17.66     2.58  2885.36
    708.00   277.55   275.25    85.00    17.79     2.15  2954.29
    700.00   277.55   274.45    80.27    17.95     1.57  3047.00
    696.00   277.55   274.15    78.56    17.43     1.99  3093.80
    693.00   277.55   273.95    77.43    17.03     2.30  3129.07
    687.00   276.96   273.73    79.48    16.22     2.86  3199.80
    671.00   275.35   273.15    85.37    16.92     2.98  3391.46
    666.00   275.35   272.45    81.13    17.14     3.02  3452.05
    664.00   275.17   272.41    81.89    17.23     3.04  3476.37
    657.00   274.55   272.25    84.66    16.59     3.22  3562.08
