
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    12843    TIME = 200704/0000         
 SLAT =  47.43     SLON =    19.18   SELV =   139.0
 STIM =  2300

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    999.00   293.15   289.05    77.25     0.64    -0.77   139.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   135.00
    971.00   292.95   287.95    72.88    -0.86    -2.39   386.00
    928.00   289.78   287.02    83.75    -4.53     2.11   777.05
    925.00   289.55   286.95    84.60    -4.53     2.11   805.00
    907.00   288.26   286.71    90.45    -4.53     2.11   972.00
    881.00   286.35   286.35   100.00    -5.00    -0.09  1219.17
    853.00   284.91   284.91   100.00    -4.33    -2.50  1491.31
    850.00   284.75   284.75   100.00    -4.33    -2.50  1521.00
    816.00   281.95   280.05    87.86    -1.81    -2.44  1861.89
    766.00   279.48   277.14    85.00    -0.00    -0.00  2383.55
    748.00   278.55   276.05    83.91     0.14    -0.51  2579.73
    700.00   276.35   272.15    73.93     1.73    -1.00  3121.00
    684.00   275.35   272.65    82.32     1.78    -0.92  3308.21
    652.00   274.15   265.15    51.04     1.85    -0.75  3694.37
    638.00   273.05   263.05    46.89     1.88    -0.67  3868.45
    606.00   269.65   265.45    72.66     1.94    -0.48  4277.76
    586.00   267.95   260.34    55.14     1.97    -0.35  4541.80
    578.00   267.25   258.25    49.02     3.97     0.46  4649.95
    574.00   267.05   262.25    68.80     4.83     1.29  4704.31
    560.00   265.61   261.75    73.82     4.92    -0.87  4896.13
    540.00   263.48   261.00    82.08     5.91    -1.04  5178.64
    536.00   263.05   260.85    83.91     6.16    -2.15  5236.40
    525.00   262.50   256.82    63.00     5.66    -5.66  5396.03
    524.00   262.45   256.45    61.33     5.79    -5.65  5410.71
    514.00   262.05   242.05    17.49     7.20    -5.47  5558.67
    512.00   261.85   248.85    33.32     7.49    -5.40  5588.56
    504.00   261.19   244.20    22.97     8.66    -5.00  5709.04
    500.00   260.85   241.85    18.89     9.06    -4.23  5770.00
    477.00   258.76   231.64     8.04     9.66     2.59  6126.87
    461.00   257.25   224.25     4.05    11.84     3.17  6385.43
    449.00   256.85   243.85    31.68    13.52     3.62  6583.78
    422.00   252.99   237.84    24.62    12.56     3.36  7043.29
    408.00   250.88   234.57    21.26    12.12     7.00  7293.27
    400.00   249.65   232.65    19.44    12.12     7.00  7440.00
    394.00   248.85   227.85    12.50    12.18     7.03  7550.28
    351.00   241.05   233.05    44.91    12.57     7.26  8378.98
    313.00   235.65   223.65    27.47    12.97     7.49  9178.49
    311.00   235.38   223.68    28.34    12.99     7.50  9222.54
    304.00   234.41   223.79    31.66    11.47     8.03  9378.98
    300.00   233.85   223.85    33.79    12.29     8.60  9470.00
    274.00   229.51   223.97    54.09    19.94     9.30 10082.75
    257.00   226.45   224.05    76.34    18.19    10.50 10515.69
    255.00   227.05   214.05    21.51    17.65    11.38 10567.72
    252.00   227.65   200.65     3.24    16.75    12.67 10646.73
    250.00   227.65   206.65     7.59    16.09    13.50 10700.00
    245.00   227.94   205.74     6.49    14.14    14.14 10834.76
    211.00   230.05   199.05     1.97    21.10    18.55 11831.31
    200.00   229.65   197.65     1.66    23.75    19.93 12190.00
    194.00   228.62   196.99     1.68    23.33    23.33 12391.67
    171.00   224.35   194.25     1.76    24.47    11.41 13227.19
    156.00   221.25   192.25     1.82    31.13    21.80 13835.04
    150.00   221.45   191.45     1.56    27.19    12.68 14090.00
    144.00   222.45   191.45     1.39    21.71     8.45 14354.42
    142.00   222.02   191.26     1.42    19.73     7.18 14444.49
    129.00   219.09   189.96     1.61    22.22     5.95 15062.79
    128.00   218.85   189.85     1.63    20.86     4.64 15112.90
    123.00   219.85   189.19     1.29    13.00    -0.00 15368.09
    122.00   220.05   189.05     1.23    12.70     0.41 15420.38
    110.00   216.93   188.01     1.51     8.16     3.80 16076.26
    106.00   215.81   187.64     1.62     2.96     6.34 16310.89
    105.00   215.52   187.54     1.65     2.74     7.52 16370.94
    100.00   214.05   187.05     1.83     2.60    14.77 16680.00
     92.70   211.65   186.65     2.32    11.31    11.31 17152.50
     70.00   213.25   185.25     1.47     1.53     1.29 18900.00
     50.00   216.65   186.65     1.23    -7.71     9.19 21020.00
     30.00   223.65   189.65     0.90   -12.69     5.92 24310.00
     20.00   226.25   190.25     0.74   -13.52     3.62 26980.00
     10.00   235.85   193.85     0.48   -15.76    -2.78 31690.00
