
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = UKLL          STNM =    33393    TIME = 200704/0000         
 SLAT =  49.81     SLON =    23.95   SELV =   323.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    977.00   291.75   289.55    87.03     1.88    -0.68   323.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   125.00
    925.00   289.75   286.25    79.80     2.54    -5.44   794.00
    867.00   286.69   282.88    77.75     1.71    -4.70  1342.32
    850.00   285.75   281.85    77.12     1.71    -4.70  1510.00
    774.00   281.35   276.75    72.74     3.91    -3.12  2290.71
    700.00   276.55   272.95    77.27     4.98    -0.44  3114.00
    657.00   273.35   270.35    80.25     4.04     0.47  3625.94
    611.00   270.99   268.15    80.89     2.82     1.03  4205.39
    601.00   270.45   267.65    81.04     3.23     1.41  4337.12
    556.00   266.22   263.55    81.23     4.60     3.86  4943.23
    500.00   260.45   257.95    81.53     5.36     4.50  5770.00
    462.00   256.48   253.88    80.21     5.66     5.66  6361.56
    400.00   249.25   246.45    77.64     8.16     3.80  7440.00
    395.00   248.66   245.88    77.71     8.16     3.80  7530.59
    349.00   242.81   240.27    78.40     6.43     7.66  8422.26
    342.00   241.85   239.35    78.53     6.72     8.01  8568.18
    334.00   240.22 -9999.00 -9999.00     7.07     8.43  8732.90
    300.00   232.85 -9999.00 -9999.00     9.64    11.49  9480.00
    274.00   227.25 -9999.00 -9999.00    13.76    13.78 10087.70
    254.00   224.25 -9999.00 -9999.00    17.56    15.19 10586.28
    250.00   224.25 -9999.00 -9999.00    18.39    15.43 10690.00
    242.00   223.65 -9999.00 -9999.00    19.15    16.07 10903.41
    237.00   224.63 -9999.00 -9999.00    19.92    16.71 11041.13
    227.00   226.65 -9999.00 -9999.00    20.48    16.43 11325.52
    202.00   228.45 -9999.00 -9999.00    21.99    15.57 12103.46
    200.00   228.05 -9999.00 -9999.00    22.12    15.49 12170.00
    187.00   226.65 -9999.00 -9999.00    22.12    15.49 12611.54
    170.00   224.66 -9999.00 -9999.00    18.19    10.50 13237.71
    150.00   222.05 -9999.00 -9999.00    21.75    10.14 14060.00
    135.00   219.18 -9999.00 -9999.00    22.55     8.21 14732.96
    130.00   218.15 -9999.00 -9999.00    22.55     8.21 14974.01
    111.00   213.85 -9999.00 -9999.00    18.76     7.97 15983.22
    100.00   215.65 -9999.00 -9999.00    16.31     7.61 16640.00
     70.00   214.45 -9999.00 -9999.00    10.39     6.00 18880.00
