
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = FKKD          STNM =    64910    TIME = 200704/1200         
 SLAT =   4.01     SLON =     9.70   SELV =    15.0
 STIM =  1100

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1013.00   298.95   295.35    80.54    -0.00    -0.00    15.00
   1008.00   297.55   293.35    77.43    -0.00    -0.00    54.55
   1001.00   296.95   293.35    80.27    -0.00    -0.00   110.05
   1000.00   297.15   293.45    79.80    -0.00    -0.00   118.00
    979.00   295.47   292.53    83.41     1.00     0.09   303.43
    975.00   295.15   292.35    84.14     0.88    -0.10   339.20
    966.00   294.95   291.65    81.52     0.52    -0.32   419.90
    946.00   293.41   291.02    86.18    -0.00    -0.00   600.84
    925.00   291.75   290.35    91.56     0.17     0.98   795.00
    914.00   291.27   290.06    92.64     0.52     1.93   897.84
    902.00   290.75   289.75    93.86     0.21     1.99  1011.45
    880.00   289.55   287.85    89.67    -0.39     1.96  1222.82
    865.00   290.95   288.05    83.13    -0.78     1.84  1370.00
    850.00   290.55   286.95    79.39    -1.15     1.64  1520.00
    842.00   290.09   286.27    78.16    -0.68     1.88  1600.96
    836.00   289.75   285.75    77.23    -1.36     1.46  1662.19
    829.00   289.95   285.65    75.76    -1.88     0.69  1734.10
    801.00   288.48   283.79    73.56    -0.00    -2.00  2026.55
    794.00   288.11   283.31    73.00    -0.00    -2.00  2101.26
    780.00   287.35   282.35    71.87    -1.81    -1.42  2252.68
    749.00   285.03   281.11    76.94    -0.52     2.95  2592.34
    718.00   282.60   279.82    82.78    -4.33     2.50  2946.36
    700.00   281.15   279.05    86.58    -5.20     3.00  3159.00
    616.00   275.87   274.22    88.92    -8.19     5.74  4188.97
    566.00   272.37   271.03    90.61    -5.14     6.13  4871.03
    500.00   267.25   266.35    93.35    -2.60     1.50  5870.00
    475.00   265.11   264.30    93.88    -4.92     0.87  6271.03
    472.00   264.85   264.05    93.95    -4.83     0.95  6320.57
    400.00   257.45   256.15    89.73    -2.30     1.93  7590.00
    389.00   256.20   254.43    86.10    -2.83     2.83  7796.95
    372.00   254.20   251.68    80.40    -2.95     0.52  8128.58
    361.00   252.86   249.83    76.66    -0.17     0.98  8351.34
    350.00   251.48   247.92    72.88     1.50    -2.60  8580.99
    339.00   250.05   245.95    69.07    -0.52    -2.95  8817.98
    324.00   247.65   243.95    71.12     0.17    -3.00  9147.21
    322.00   247.34   243.30    68.78     0.26    -2.99  9191.69
    307.00   244.99   238.28    52.58    -3.21    -3.83  9534.33
    300.00   243.85   235.85    45.87    -4.60    -3.86  9700.00
    297.00   243.05   235.05    45.60    -4.64    -3.89  9771.64
    281.00   239.45   234.45    60.61    -4.87    -4.09 10162.82
    250.00   232.25   225.25    46.77    -5.36    -4.50 10970.00
    228.00   227.35   219.09    38.68   -13.52    -3.62 11581.31
    216.00   224.48   215.47    34.27   -19.32    -5.18 11940.12
    201.00   220.65   210.65    28.81   -20.59    -7.36 12417.77
    200.00   220.45   210.45    28.73   -20.67    -7.52 12450.00
    150.00   205.05   199.05    41.94   -19.05   -11.00 14240.00
    144.00   203.05   198.05    47.87   -21.46   -11.29 14483.26
    137.00   201.90   196.42    44.01   -24.47   -11.41 14775.26
    117.00   198.25   191.25    33.11   -12.53     9.32 15699.97
    116.00   197.99   191.32    34.81   -11.49     9.64 15749.47
    111.00   196.65   191.65    45.15   -11.77    10.67 16003.53
    109.00   196.25   190.25    38.10   -11.86    11.11 16107.84
    105.00   195.45   190.45    44.62   -12.02    12.02 16321.68
    101.00   195.25   190.25    44.53   -13.23     6.20 16543.26
    100.00   195.25   189.25    37.65   -13.16     4.79 16600.00
     70.00   204.85 -9999.00 -9999.00   -16.31     7.61 18690.00
     50.00   205.65 -9999.00 -9999.00   -26.90     2.35 20700.00
     30.00   219.05 -9999.00 -9999.00     4.02    -5.73 23900.00
     20.00   227.05 -9999.00 -9999.00     1.37     3.76 26540.00
