
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =     3882    TIME = 200705/0000         
 SLAT =  50.90     SLON =     0.31   SELV =     0.0
 STIM =  2300

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1007.00   288.75   287.65    93.16     5.79     3.34     0.00
   1004.00   288.49   287.35    92.89     7.25     2.64    46.62
   1000.00   288.15   286.95    92.53     9.68     3.52   109.00
    999.00   288.15   286.95    92.53    10.78     3.92   117.50
    993.00   287.69   286.88    94.93    17.41     6.34   168.56
    981.00   286.75   286.75   100.00    18.31     6.66   271.61
    942.00   284.71   284.71   100.00    21.28     7.75   613.20
    939.00   284.55   284.55   100.00    20.89     7.24   640.06
    935.00   284.75   284.55    98.69    20.34     6.59   675.87
    932.00   287.75   284.95    83.29    19.92     6.12   702.99
    930.00   287.75   285.25    84.95    19.63     5.81   721.21
    925.00   288.55   285.25    80.69    18.89     5.06   767.00
    922.00   289.35   285.05    75.66    18.64     4.26   794.64
    918.00   289.45   285.05    75.18    18.25     3.22   831.70
    914.00   289.55   285.05    74.70    18.81     2.57   868.91
    909.00   289.55   284.70    72.97    19.49     1.70   915.67
    893.00   289.55   283.55    67.62    20.28     2.54  1067.05
    872.00   288.50   283.40    71.58    21.29     3.75  1269.38
    865.00   288.15   283.35    72.98    20.97     3.70  1337.91
    850.00   286.95   283.75    81.01    20.28     3.58  1486.00
    848.00   286.75   283.45    80.44    20.16     3.43  1505.90
    843.00   287.15   282.35    72.80    19.85     3.06  1555.86
    823.00   287.55   279.55    58.62    18.53     1.68  1758.88
    822.00   287.49   279.55    58.86    18.46     1.61  1769.15
    810.00   286.74   279.55    61.79    20.00    -1.75  1893.32
    807.00   286.55   279.55    62.55    20.19    -1.77  1924.65
    800.00   286.75   278.75    58.42    20.61    -1.80  1998.10
    785.00   285.95   278.75    61.55    21.54    -1.88  2157.18
    763.00   284.75   278.75    66.61    18.55    -0.55  2396.10
    752.00   284.46   277.73    63.24    16.99    -0.00  2517.63
    748.00   284.35   277.35    62.04    17.44    -1.52  2562.26
    744.00   284.83   277.03    58.77    17.75    -3.13  2607.14
    743.00   284.95   276.95    57.97    17.75    -3.17  2618.40
    708.00   281.39   275.90    68.31    17.90    -4.80  3019.53
    700.00   280.55   275.65    71.06    19.40    -5.20  3114.00
    687.00   279.35   275.25    75.00    21.45    -5.75  3268.48
    683.00   279.15   274.65    72.85    22.09    -5.92  3316.47
    678.00   279.35   273.35    65.43    22.89    -6.13  3376.85
    675.00   279.16   272.93    64.27    23.38    -6.26  3413.18
    653.00   277.75   269.75    56.11    23.57    -5.48  3684.64
    650.00   277.55   272.55    69.96    23.60    -5.37  3722.24
    646.00   277.35   270.35    60.34    23.63    -5.22  3772.61
    631.00   275.95   270.95    69.63    23.75    -4.66  3963.75
    619.00   275.00   269.53    67.01    23.83    -4.20  4118.98
    606.00   273.95   267.95    64.18    23.71    -4.86  4290.57
