
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = UKHH          STNM =    34300    TIME = 200705/0000         
 SLAT =  49.96     SLON =    36.13   SELV =   155.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    993.00   294.35   287.35    64.30     0.50     0.87   155.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    91.00
    976.00   298.36   286.73    48.48     4.98    -0.44   304.38
    971.00   299.55   286.55    44.63     5.95     0.78   348.82
    966.00   299.89   285.18    39.99     6.58     2.39   393.95
    945.00   301.35   279.35    24.78     4.47     6.36   586.10
    939.00   300.93   278.93    24.67     3.38     7.25   641.75
    929.00   300.23   278.23    24.48     2.74     7.52   735.30
    925.00   299.95   277.95    24.41     2.74     7.52   773.00
    902.00   298.16   277.35    26.02     3.50     6.06   991.57
    865.00   295.19   276.36    29.04     0.00     5.00  1355.15
    850.00   293.95   275.95    30.43     0.87     4.92  1507.00
    840.00   293.13   275.91    31.92     1.81     6.76  1607.13
    798.00   289.57   275.74    39.44    -1.71     4.70  2041.12
    781.00   288.08   275.67    43.18    -0.87     4.92  2223.32
    753.00   285.55   275.55    50.47    -1.62     3.78  2532.22
    719.00   281.45   274.38    61.05    -1.93     2.30  2913.74
    707.00   279.95   273.95    65.56    -2.05     2.19  3052.71
    700.00   279.55   274.55    70.36    -2.12     2.12  3134.00
    684.00   277.95   273.55    73.15    -2.77     2.26  3322.61
    646.00   274.79   266.13    52.59    -4.53     2.11  3782.95
    636.00   273.93   264.11    47.82    -3.54     3.54  3908.59
    626.00   273.05   262.05    43.31    -3.09     4.09  4036.23
    564.00   268.83   256.95    39.06     1.55     5.80  4860.42
    556.00   268.25   256.25    38.48     1.64     5.89  4973.32
    500.00   265.45   245.45    18.43     2.39     6.58  5800.00
    494.00   265.15   244.40    17.12     2.39     6.58  5893.62
    492.00   265.05   244.05    16.69     2.65     6.48  5925.08
    468.00   261.82   241.18    16.39     5.36     4.50  6305.96
    428.00   256.05   236.05    15.86     6.49     4.92  6986.43
    400.00   253.25   233.25    15.10     7.37     5.16  7490.00
    381.00   251.45   231.45    14.62     7.76     5.43  7849.28
    374.00   251.05   232.05    16.13     7.90     5.53  7985.59
    325.00   241.85   232.64    39.83     9.01     6.31  8997.73
    324.00   241.65   232.65    40.67     9.04     6.20  9019.94
    300.00   238.05   232.05    54.22     9.40     3.42  9560.00
    298.00   237.72   231.79    54.52     9.40     3.42  9606.12
    268.00   232.45   227.65    59.79     7.55     6.55 10337.75
    256.00   231.53   226.79    59.94     6.43     7.66 10648.91
    250.00   231.05   226.35    60.02     9.83     6.88 10810.00
    248.00   231.05   226.35    60.02    10.90     6.61 10864.07
    239.00   230.65   225.65    57.92    15.74     3.90 11112.67
    237.00   230.72   225.55    56.87    16.74     2.95 11169.24
    218.00   231.38   224.56    47.42    22.91    -2.00 11731.73
    216.00   231.45   224.45    46.48    22.81    -2.00 11793.77
    200.00   229.05   220.05    36.06    21.92    -1.92 12310.00
    180.00   225.95   215.45    28.98    29.89    -2.61 13005.64
    162.00   222.85   210.85    22.88    24.52    -5.23 13701.28
    155.00   221.25   209.25    22.30    22.22    -5.95 13987.88
    152.00   221.45   209.45    22.38    21.31    -6.92 14114.29
    150.00   221.45   209.45    22.38    20.67    -7.52 14200.00
    147.00   221.27   209.22    22.16    19.32    -5.18 14330.57
    107.00   218.38   205.52    18.89    13.79     2.43 16383.22
    101.00   217.85   204.85    18.33    13.93     1.40 16756.19
    100.00   218.05   205.05    18.40    13.95     1.22 16820.00
     70.00   218.45   204.45    16.12     1.93     0.52 19080.00
     50.00   220.45   206.45    16.77    -2.72    -1.27 21230.00
