
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = GSVO          STNM =    60096    TIME = 200705/1200         
 SLAT =  23.71     SLON =   -15.93   SELV =    12.0
 STIM =  1100

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1010.00   296.15   291.95    77.22    -3.62   -13.52    12.00
   1003.00   293.55   289.95    79.81    -4.88   -14.60    69.41
   1000.00   293.15   290.35    83.91    -5.47   -15.04    94.00
    972.00   291.53   290.35    92.85    -7.87   -21.61   338.92
    969.00   291.35   290.35    93.89    -8.50   -20.84   365.58
    967.00   293.15   291.35    89.38    -8.89   -20.31   383.41
    961.00   293.35   290.55    83.94    -9.95   -18.68   437.29
    959.00   299.35   289.35    54.10   -10.26   -18.13   455.51
    957.00   300.55   286.55    42.08   -10.55   -17.57   473.98
    952.00   301.15   279.15    24.72   -11.18   -16.15   520.36
    946.00   305.35   256.35     3.43   -11.76   -14.44   576.63
    928.00   308.95   268.95     7.62   -12.35    -9.40   749.66
    925.00   308.75   269.75     8.18   -12.29    -8.60   779.00
    907.00   308.35   268.35     7.52   -11.74    -6.88   956.92
    850.00   303.95   268.95    10.08    -8.69    -2.33  1540.00
    767.00   296.87   266.41    12.60    -3.98    -0.35  2443.83
    759.00   296.15   266.15    12.90    -4.34    -0.12  2536.06
    700.00   289.75   265.75    18.61    -6.34     2.96  3231.00
    648.00   283.35   264.35    25.34    -6.90     3.39  3880.30
    509.00   264.45   262.45    85.43    -8.55     4.88  5821.72
    500.00   263.65   259.85    73.82    -8.66     5.00  5960.00
    488.00   262.17   257.36    67.62    -9.83     6.88  6147.36
    487.00   262.05   257.15    67.12    -9.67     6.98  6163.18
    479.00   263.05   242.05    16.16    -8.37     7.66  6290.70
    414.00   257.05   233.05    10.73     1.20     6.09  7402.09
    400.00   254.65   232.65    12.59     2.11     4.53  7660.00
    358.00   248.25   230.25    17.10     3.56     6.79  8476.17
    325.00   243.72   224.05    13.08     5.00     8.66  9170.96
    319.00   242.85   222.85    12.38     4.43     8.44  9304.83
    309.00   242.65   211.65     3.20     3.51     8.00  9531.03
    300.00   240.65   215.65     6.45     2.74     7.52  9740.00
    287.00   237.65   215.65     8.66     3.57     7.70 10049.57
    261.00   235.05   198.05     1.00     5.50     7.78 10705.40
    250.00   233.25   197.25     1.07     6.43     7.66 11000.00
    249.00   233.05   197.05     1.06     6.48     7.67 11027.37
    200.00   222.65   190.65     1.19     9.19     7.71 12490.00
    197.00   221.96   190.63     1.28     9.96     8.36 12586.03
    156.00   211.25   190.25     4.51     1.74    13.75 14068.62
    150.00   209.05   188.05     4.16     0.00    14.00 14310.00
    132.00   202.45   179.45     2.19    -3.26    15.98 15082.08
    127.00   201.70   178.42     2.00    -4.40    16.42 15308.50
    111.00   199.08   174.83     1.44     3.13    17.73 16098.08
    100.00   197.05   172.05     1.10     2.57     3.06 16710.00
     70.00   201.85   175.85     1.18   -12.12     7.00 18780.00
     50.00   208.45   180.45     1.15   -22.00     0.00 20800.00
     30.00   221.65   189.65     1.13   -18.93     1.66 24010.00
     20.00   222.85   189.85     1.02   -18.71    -3.30 26650.00
