
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = XWI           STNM =    71843    TIME = 200705/1800         
 SLAT =  49.53     SLON =   -97.08   SELV =   251.0
 STIM =  1800

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    983.00   301.15   295.15    69.90     1.15     1.64   251.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    70.00
    975.00   299.95   292.95    65.50     1.23     2.00   317.40
    971.00   299.55   292.55    65.41     1.25     2.19   350.69
    960.00   298.30   292.47    70.08     1.27     2.72   442.18
    940.00   296.00   292.32    79.73     0.26     2.99   611.25
    931.00   294.95   292.25    84.64     0.13     3.60   688.51
    928.00   294.75   291.85    83.57     0.07     3.80   714.22
    925.00   294.75   291.55    82.01     0.00     4.00   740.00
    921.00   294.82   291.15    79.66     0.00     4.00   778.28
    913.00   294.95   290.35    75.11     0.85     3.91   855.34
    908.00   294.73   290.06    74.78     1.37     3.76   903.71
    887.00   293.78   288.84    73.34     1.71     4.70  1109.85
    882.00   293.55   288.55    72.99     1.48     4.78  1159.65
    878.00   293.27   288.38    73.47     1.29     4.83  1199.45
    864.00   292.27   287.78    75.21     3.00     5.20  1340.16
    856.00   291.70   287.44    76.25     3.00     5.20  1421.60
    854.00   291.55   287.35    76.51     3.00     5.20  1442.08
    850.00   291.15   286.65    74.97     3.00     5.20  1483.00
    846.00   291.05   285.68    70.81     3.00     5.20  1523.38
    836.00   290.80   283.24    61.20     3.00     5.20  1625.17
    834.00   290.75   282.75    59.40     3.04     5.05  1645.68
    828.00   290.35   282.35    59.30     3.14     4.62  1707.35
    817.00   289.41   281.41    59.08     3.21     3.83  1821.26
    814.00   289.15   281.15    59.01     3.58     3.87  1852.59
    806.00   288.35   280.35    58.82     4.60     3.86  1936.30
    800.00   287.75   279.75    58.67     4.54     3.33  1999.62
    790.00   287.35   277.33    50.91     4.33     2.50  2105.55
    772.00   286.61   272.91    38.94     6.55     4.59  2299.63
    761.00   286.15   270.15    32.76     5.95     4.17  2420.47
    757.00   285.76   270.33    34.05     5.73     4.02  2464.22
    749.00   284.97   270.68    36.83     5.73     4.02  2552.40
    732.00   283.27   271.45    43.65     6.34     2.96  2742.97
    714.00   281.42   272.29    52.56     5.20     3.00  2949.63
    709.00   280.90   272.52    55.40     4.91     3.44  3007.96
    700.00   279.95   272.95    60.98     4.91     3.44  3114.00
    699.00   279.85   272.91    61.23     4.91     3.44  3125.76
    691.00   279.05   272.61    63.30     5.20     3.00  3220.49
    684.00   278.35   272.35    65.20     5.20     3.00  3304.27
    677.00   277.89   271.42    62.91     4.60     3.86  3388.50
    670.00   277.42   270.48    60.66     4.02     5.73  3473.61
    669.00   277.35   270.35    60.34     3.99     5.81  3485.84
    650.00   275.23   270.11    68.87     3.38     7.25  3719.78
    637.00   273.75   269.95    75.67     2.74     7.52  3883.82
    630.00   273.18   269.11    74.06     3.38     7.25  3972.63
    624.00   272.68   268.38    72.67     2.96     6.34  4049.53
    617.00   272.10   267.52    71.05     3.38     7.25  4140.20
    614.00   271.85   267.15    70.36     3.70     7.93  4179.37
    613.00   271.77   267.11    70.54     3.80     8.16  4192.32
    609.00   271.46   266.95    71.28     5.00     8.66  4244.33
    595.00   270.36   266.37    73.99     7.00    12.12  4429.10
    588.00   269.80   266.07    75.42     8.03    11.47  4523.11
    569.00   268.24   265.26    79.61     8.36     9.96  4784.06
    563.00   267.73   264.99    81.02     8.36     9.96  4868.28
    562.00   267.65   264.95    81.27     8.57     9.84  4882.40
    558.00   267.65   264.45    78.16     9.42     9.34  4938.70
    545.00   268.45   258.45    45.50    11.98     7.16  5124.69
    526.00   266.85   253.64    34.31    14.77     2.60  5403.31
    520.00   266.33   252.08    31.22    13.79     2.43  5493.39
    510.00   265.45   249.45    26.49    13.79     2.43  5645.85
    509.00   265.31   249.31    26.45    13.79     2.43  5661.13
    500.00   264.05   248.05    26.06    13.79     2.43  5800.00
    498.00   263.81   248.23    26.98    12.80     2.26  5830.75
    487.00   262.50   249.24    32.77    11.82     2.08  6002.08
    482.00   261.89   249.70    35.85    11.59     3.11  6081.25
    476.00   261.15   250.27    39.99    12.56     3.36  6177.34
    472.00   260.65   250.65    43.05    13.33     3.57  6242.07
    471.00   260.45   250.45    42.99    13.52     3.62  6258.22
    470.00   260.25   250.25    42.92    13.58     3.39  6274.41
    466.00   260.65   248.99    37.18    13.79     2.43  6339.60
    461.00   261.15   247.41    30.96    13.79     2.43  6421.87
    458.00   261.45   246.45    27.69    14.97     2.64  6471.67
    456.00   261.32   245.65    26.00    15.76     2.78  6505.11
    455.00   261.25   245.25    25.19    15.76     2.78  6521.88
    451.00   260.67   245.15    26.15    15.76     2.78  6588.23
    436.00   258.47   244.79    30.24    15.45     4.14  6842.41
    430.00   257.57   244.64    32.13    15.45     4.14  6946.54
    425.00   256.80   244.51    33.83    15.04     5.47  7034.43
    415.00   255.25   244.25    37.62    16.31     7.61  7213.36
    401.00   253.01   243.88    43.98    13.86     8.00  7471.24
    400.00   252.85   243.85    44.49    13.86     8.00  7490.00
    398.00   252.45   243.45    44.36    12.81     8.43  7527.07
    397.00   252.31   243.24    44.00    12.29     8.60  7545.59
    392.00   251.63   242.17    42.21    12.29     8.60  7638.91
    388.00   251.07   241.30    40.79    13.11     9.18  7714.43
    385.00   250.65   240.65    39.74    13.60     9.52  7771.58
    383.00   250.35   240.72    41.10    13.93     9.75  7809.48
    362.00   247.13   241.53    59.31    14.72     8.50  8219.88
    359.00   246.65   241.65    62.65    14.72     8.50  8280.44
    358.00   246.50   241.33    61.62    14.72     8.50  8300.39
    354.00   245.88   240.05    57.60    15.59     9.00  8380.74
    346.00   244.64   237.45    50.04    16.45     9.50  8544.20
    334.00   242.71   233.42    39.85    13.93     9.75  8796.62
    330.00   242.05   232.05    36.76    13.93     9.75  8882.78
    322.00   240.45   231.45    40.24    13.88    10.64  9056.03
    314.00   239.10   229.03    35.45    13.79    11.57  9231.63
    310.00   238.41   227.80    33.17    13.79    11.57  9321.12
    306.00   237.71   226.55    30.97    13.79    11.57  9411.78
    300.00   236.65   224.65    27.83    16.45     9.50  9550.00
    297.00   236.05   224.05    27.62    18.13     8.45  9619.29
    295.00   235.65   223.65    27.47    18.49     8.62  9665.88
    292.00   235.01   223.31    28.22    19.03     8.87  9735.58
    283.00   233.03   222.28    30.70    19.03     8.87  9949.05
    276.00   231.45   221.45    32.90    19.03     8.87 10119.83
    269.00   229.94   219.94    32.34    18.19    10.50 10291.24
    262.00   228.40   218.40    31.76    18.19    10.50 10467.17
    255.00   226.81   216.81    31.16    18.13     8.45 10647.87
    251.00   225.88   215.88    30.81    18.13     8.45 10753.36
    250.00   225.65   215.65    30.72    18.13     8.45 10780.00
    241.00   223.45   213.45    29.88    18.79     6.84 11021.88
    238.00   223.04   213.04    29.72    19.73     7.18 11103.86
    235.00   222.62   212.62    29.56    20.67     7.52 11186.88
    231.00   222.05   212.05    29.35    22.98     6.89 11299.23
    229.00   222.15   211.65    27.55    24.15     6.47 11355.99
    227.00   222.25   211.25    25.84    23.83     4.92 11413.24
    226.00   222.08   211.08    25.78    23.64     4.17 11441.96
    223.00   221.55   210.55    25.58    23.18     6.21 11528.91
    218.00   220.65   209.65    25.24    21.06     5.64 11676.45
    214.00   219.78   209.01    25.69    19.32     5.18 11795.46
    202.00   217.08   207.02    27.20    19.03     8.87 12166.34
    201.00   216.85   206.85    27.33    19.48     9.09 12198.24
    200.00   216.65   206.65    27.26    19.94     9.30 12230.00
    194.00   215.87   205.48    25.53    19.92    11.50 12421.90
    192.00   215.60   205.08    24.96    19.92    11.50 12487.19
    189.00   215.20   204.47    24.11    20.85     9.72 12586.40
    186.00   214.79   203.86    23.26    19.73     7.18 12687.21
    185.00   214.65   203.65    22.99    18.79     6.84 12721.17
    184.00   214.81   203.81    23.05    18.79     6.84 12755.24
    181.00   215.31   204.31    23.24    15.41     7.18 12858.56
    179.00   215.65   204.65    23.36    15.96     8.31 12928.40
    177.00   215.36   204.36    23.25    16.45     9.50 12999.00
    175.00   215.06   204.06    23.14    15.56    10.90 13070.39
    172.00   214.60   203.60    22.97    16.38    11.47 13179.03
    171.00   214.45   203.45    22.91    16.26    12.48 13215.66
    170.00   214.81   203.61    22.41    16.09    13.50 13252.56
    168.00   215.52   203.93    21.43    17.20    12.05 13327.01
    166.00   216.25   204.25    20.50    16.28    10.58 13402.36
    163.00   215.66   203.29    19.25    14.72     8.50 13517.15
    160.00   215.06   202.31    18.03    12.12     7.00 13634.08
    158.00   214.65   201.65    17.24    10.72     8.21 13713.25
    156.00   214.94   201.70    16.74     9.19     9.19 13793.36
    154.00   215.24   201.75    16.24     9.96     8.36 13874.51
    150.00   215.85   201.85    15.28    12.99     7.50 14040.00
    148.00   216.50   201.91    14.22    13.93     9.75 14125.72
    144.00   217.83   202.03    12.30    19.94     9.30 14300.69
    139.00   219.55   202.19    10.23    19.32     5.18 14526.37
    137.00   220.25   202.25     9.50    20.68     3.65 14618.92
    127.00   216.85   197.85     7.45    12.95     1.13 15104.05
    126.00   216.95   197.45     6.93    14.49     3.88 15154.28
    125.00   217.05   197.05     6.44    13.53     3.62 15204.90
    124.00   216.83   196.83     6.39    12.56     3.36 15255.75
    122.00   216.39   196.39     6.31    13.79     2.43 15358.68
    117.00   215.25   195.25     6.08    13.79     2.43 15623.59
    114.00   214.05   194.05     5.85    13.79     2.43 15786.88
    113.00   214.25   193.75     5.44    13.79     2.43 15842.17
    112.00   214.45   193.45     5.05    14.77     2.60 15897.94
    110.00   214.05   193.05     4.98    13.79     2.43 16011.00
    108.00   214.65   192.65     4.33     9.85     1.74 16126.19
    107.00   214.65   192.53     4.25     6.06     3.50 16184.67
    105.00   214.65   192.28     4.08     5.79     6.89 16303.29
    100.00   214.65   191.65     3.68     8.36     9.96 16610.00
