
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =     3238    TIME = 200706/0000         
 SLAT =  55.02     SLON =    -1.87   SELV =   141.0
 STIM =  2300

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    988.00   283.15   280.75    85.02     5.62    -6.70   141.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    45.00
    986.00   283.06   280.69    85.23     7.69     0.67   157.95
    976.00   282.58   280.41    86.30    15.96    -0.00   243.22
    967.00   282.15   280.15    87.28    17.84    -1.47   320.72
    957.00   281.75   279.40    85.17    19.77    -3.49   407.38
    947.00   281.35   278.65    83.08    19.99    -4.08   494.96
    936.00   280.35   278.25    86.50    20.20    -4.76   592.03
    930.00   280.15   277.25    81.78    20.31    -5.14   645.35
    925.00   279.95   277.35    83.49    20.39    -5.46   690.00
    880.00   276.55   274.75    87.99    19.11   -10.55  1097.82
    861.00   275.79   273.24    83.25    18.14   -12.70  1274.76
    850.00   275.35   272.35    80.54    16.87   -11.81  1379.00
    844.00   275.15   272.05    79.92    17.24   -11.26  1436.23
    834.00   275.06   270.65    72.56    17.83   -10.29  1532.43
    822.00   274.95   268.95    64.42    16.81   -10.85  1649.41
    813.00   274.28   268.87    67.19    16.02   -11.22  1737.81
    789.00   272.45   268.65    75.45    16.47    -9.62  1978.43
    767.00   271.05   267.35    75.77    16.76    -8.11  2203.88
    765.00   270.85   266.55    72.34    16.78    -7.97  2224.63
    763.00   270.71   266.48    72.74    16.79    -7.83  2245.34
    745.00   269.41   265.89    76.54    15.61    -9.01  2434.15
    732.00   268.45   265.45    79.51    15.55    -8.29  2573.38
    726.00   268.45   264.75    75.31    15.51    -7.95  2638.18
    712.00   267.17   264.06    78.62    15.40    -7.18  2790.79
    700.00   266.05   263.45    81.68    14.26    -8.23  2924.00
    695.00   265.65   263.35    83.57    13.71    -7.92  2979.92
    690.00   265.25   262.25    79.01    13.15    -7.59  3036.15
    688.00   265.08   262.15    79.40    12.93    -7.46  3058.62
    657.00   262.45   260.55    85.89    15.61    -7.79  3415.50
    654.00   262.45   259.95    81.82    15.88    -7.80  3450.74
    647.00   261.65   259.55    84.42    16.52    -7.83  3533.45
    644.00   261.44   259.24    83.69    16.79    -7.83  3569.01
