
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LGIR          STNM =    16754    TIME = 200706/0000         
 SLAT =  35.33     SLON =    25.18   SELV =    39.0
 STIM =  2300

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1001.00   298.55   293.55    73.85     1.94     0.70    39.00
   1000.00   299.15   293.15    69.52     3.12    -1.80    45.00
    995.00   298.85   292.85    69.47     4.22    -2.95    88.98
    956.00   296.49   290.49    69.01     7.10    -5.96   439.79
    925.00   294.55   288.55    68.63     7.14    -4.12   729.00
    909.00   293.49   287.49    68.42     5.79    -3.34   880.07
    901.00   292.95   286.95    68.31     5.38    -3.53   956.61
    888.00   292.55   284.55    59.83     4.71    -3.76  1081.92
    866.00   294.15   275.15    28.39     3.57    -3.94  1298.29
    861.00   293.72   275.65    30.22     3.31    -3.95  1348.19
    850.00   292.75   276.75    34.68     4.63    -5.52  1459.00
    837.00   291.68   277.21    38.29     5.06    -3.54  1590.39
    824.00   290.60   277.67    42.35     3.97    -4.73  1723.83
    784.00   287.15   279.15    58.52     4.66    -2.46  2148.04
    779.00   286.69   278.50    57.64     4.67    -2.18  2201.58
    733.00   282.35   272.35    49.58     4.67    -2.18  2711.01
    715.00   281.92   260.04    19.80     4.67    -2.18  2916.64
    700.00   281.55   249.55     8.33     4.61    -0.40  3092.00
    697.00   281.35   248.35     7.58     4.77     0.15  3127.49
    692.00   281.75   241.75     4.00     4.88     1.14  3186.98
    689.00   281.55   241.81     4.08     4.84     1.76  3222.48
    621.00   276.88   243.33     6.51     0.36     2.03  4071.41
    595.00   274.95   243.95     7.91     2.08     4.76  4420.83
    583.00   274.48   240.81     6.07     3.34     5.79  4584.61
    558.00   273.48   234.05     3.33     7.58     4.37  4936.93
    543.00   272.85   229.85     2.24     8.14     3.22  5155.98
    523.00   270.39   226.94     1.95     8.62     1.52  5453.48
    500.00   267.45   223.45     1.64     9.68     3.52  5810.00
    427.00   257.29   230.23     7.81     9.28     6.50  7017.55
    415.00   255.45   231.45    10.37    10.64     5.66  7235.65
    410.00   254.92   229.28     8.60    11.20     5.22  7325.98
    400.00   253.85   224.85     5.78     9.81     5.66  7510.00
    393.00   253.09   222.83     4.90     9.07     7.61  7640.17
    373.00   250.85   216.85     2.92    13.98     8.33  8025.27
    361.00   251.98   211.72     1.39    17.27     8.05  8265.79
    354.00   252.65   208.65     0.87    16.45     9.29  8409.81
    338.00   251.94   207.94     0.84    14.19    11.91  8750.66
    336.00   251.85   207.85     0.84    14.45    12.13  8794.40
    300.00   246.85   204.85     0.87    19.33    16.22  9620.00
    250.00   238.85   200.85     1.04    22.77    15.95 10920.00
    211.00   231.65   194.65     0.84    28.44    16.90 12081.21
    205.00   230.14   194.22     0.92    29.43    16.99 12274.53
    200.00   228.85   193.85     1.00    28.09    16.21 12440.00
    180.00   223.51   193.60     1.74    21.50    15.06 13127.69
    156.00   216.25   193.25     3.91    19.54    18.13 14061.71
    150.00   215.45   191.45     3.22    18.93    18.93 14310.00
    145.00   214.05   190.05     3.05    18.93    18.93 14524.15
    143.00   213.68   189.87     3.10    18.93    18.93 14609.59
    139.00   212.94   189.50     3.20    14.17    20.24 14784.13
    130.00   211.17   188.64     3.48    16.17    13.57 15195.94
    120.00   209.06   187.61     3.85    10.63    15.18 15688.36
    113.00   207.47   186.83     4.17     9.36     5.40 16058.12
    110.00   206.76   186.48     4.32     4.73     4.73 16223.65
    103.00   205.03   185.63     4.73     6.43    11.15 16628.15
    100.00   204.25   185.25     4.93     9.45    13.49 16810.00
     83.10   199.65   184.65     8.64    -0.76     8.72 17903.61
     70.00   201.45   182.45     4.44    -8.72     0.76 18910.00
     50.00   209.45   181.45     1.21   -15.72     2.77 20940.00
     30.00   214.05   182.05     0.75   -15.44     0.00 24130.00
     20.00   225.45   186.45     0.42   -17.75     3.13 26750.00
