
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    89532    TIME = 200706/0000         
 SLAT = -69.00     SLON =    39.58   SELV =    21.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    991.00   245.45   237.45    46.41    -1.65     1.97    21.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -48.00
    990.00   247.85   238.85    42.81    -1.78     1.82    28.19
    989.00   248.85   238.85    39.13    -1.90     1.66    35.44
    972.00   250.02   237.42    30.59    -1.69    -1.18   160.46
    963.00   250.65   236.65    26.80    -1.22    -1.21   227.54
    945.00   249.94   235.94    26.56    -0.44    -0.93   363.70
    937.00   249.61   235.61    26.46    -0.00    -1.03   425.05
    928.00   249.25   235.25    26.34    -0.20    -1.01   494.70
    925.00   249.25   235.25    26.34    -0.27    -0.99   518.00
    917.00   249.33   235.95    28.07    -0.00    -1.03   582.00
    915.00   249.35   236.12    28.52     0.09    -1.03   598.09
    902.00   249.49   237.27    31.62    -0.84    -0.59   703.51
    894.00   249.57   237.99    33.70    -0.99    -0.27   769.15
    889.00   249.63   238.44    35.08    -0.99    -0.27   810.47
    881.00   249.71   239.17    37.39    -0.99     0.27   877.08
    876.00   249.76   239.63    38.92    -1.01     0.18   919.01
    863.00   249.91   240.83    43.19    -0.66    -0.79  1029.17
    861.00   249.93   241.02    43.88    -0.44    -0.93  1046.26
    860.00   249.94   241.11    44.24    -0.18    -1.01  1054.83
    850.00   250.05   242.05    47.94     0.09    -1.03  1141.00
    849.00   250.05   242.05    47.94     0.09    -1.03  1149.56
    842.00   250.05   242.05    47.94     0.18    -1.01  1209.76
    840.00   250.05   242.05    47.94     0.13    -1.02  1227.06
    838.00   250.05   241.72    46.45     0.09    -1.03  1244.39
    836.00   250.05   241.39    45.00    -0.09    -1.03  1261.77
    830.00   250.05   240.39    40.87     0.35    -0.97  1314.14
    822.00   250.05   239.05    35.86     0.20    -1.01  1384.57
    821.00   250.01   239.14    36.32     0.18    -1.01  1393.40
    808.00   249.42   240.32    42.92     0.84    -0.59  1509.23
    800.00   249.05   241.05    47.61     1.70    -0.52  1581.44
    797.00   249.25   238.26    35.63     2.03    -0.36  1608.69
    791.00   249.65   232.65    19.44     2.58    -0.22  1663.48
    774.00   248.83   235.40    27.76     4.06     0.72  1820.70
    758.00   248.05   238.05    38.85     4.72     0.66  1971.85
    745.00   247.65   233.65    25.81     5.26     0.57  2096.53
    711.00   245.85   239.85    56.66     6.73     0.18  2431.71
    700.00   245.05   239.05    56.42     7.21    -0.00  2543.00
    682.00   243.85   239.15    63.72     7.20    -0.38  2729.59
    653.00   241.85   235.85    55.43     7.14    -1.01  3038.79
    642.00   241.71   230.23    31.31     7.10    -1.25  3159.13
    637.00   241.65   227.65    23.81     7.13    -1.09  3214.51
    605.00   240.76   223.22    15.77     7.21    -0.00  3578.65
    601.00   240.65   222.65    14.93     7.32    -0.21  3625.51
    569.00   238.15   221.14    15.99     7.96    -2.13  4005.18
    509.00   233.05   218.05    18.56    10.59    -1.05  4778.41
    505.00   232.70 -9999.00 -9999.00    10.77    -0.94  4832.18
    500.00   232.25 -9999.00 -9999.00    10.77    -0.94  4900.00
    417.00   222.05 -9999.00 -9999.00    12.33    -1.97  6093.65
    400.00   220.05 -9999.00 -9999.00    12.67    -2.23  6360.00
    379.00   217.65 -9999.00 -9999.00    12.36    -3.60  6707.10
    367.00   216.71 -9999.00 -9999.00    12.09    -4.40  6909.83
    300.00   210.85 -9999.00 -9999.00    13.85    -1.21  8180.00
    288.00   209.25 -9999.00 -9999.00    13.38    -0.60  8430.47
    276.00   208.47 -9999.00 -9999.00    12.87    -0.00  8689.00
    254.00   206.94 -9999.00 -9999.00    15.72    -2.77  9193.58
    250.00   206.65 -9999.00 -9999.00    14.70    -2.59  9290.00
    200.00   203.05 -9999.00 -9999.00    14.87    -1.30 10630.00
    158.00   200.76 -9999.00 -9999.00    14.87    -1.30 12014.76
    150.00   200.25 -9999.00 -9999.00    17.95    -1.57 12320.00
    113.00   195.25 -9999.00 -9999.00    16.73    -2.95 13969.44
    108.00   194.81 -9999.00 -9999.00    17.41    -4.66 14228.86
    100.00   194.05 -9999.00 -9999.00    19.77    -3.49 14670.00
     70.00   190.85 -9999.00 -9999.00    24.37    -6.53 16680.00
     50.00   188.05 -9999.00 -9999.00    26.85    -7.20 18560.00
     30.00   186.05 -9999.00 -9999.00    30.42    -5.36 21350.00
     20.00   187.25 -9999.00 -9999.00    34.83   -12.68 23560.00
     10.00   195.65 -9999.00 -9999.00    36.76   -13.38 37450.00
      6.30 -9999.00 -9999.00 -9999.00    41.53   -19.36 -9999.00
