
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PKMJ          STNM =    91376    TIME = 200706/0000         
 SLAT =   7.07     SLON =   171.29   SELV =     4.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1010.00   300.95   299.25    90.48    -0.67    -2.48     4.00
   1004.00   300.35   296.55    79.75    -2.00    -1.62    57.95
   1000.00   299.75   296.65    83.11    -2.48    -0.67    94.00
    995.00   299.35   296.15    82.57    -2.89    -0.69   138.52
    964.00   297.95   293.55    76.54    -5.47    -0.31   418.55
    942.00   296.15   293.75    86.35    -7.29     0.53   621.61
    925.00   295.15   292.05    82.58    -8.62     1.52   781.00
    916.00   294.55   291.55    83.02    -8.54     1.24   866.10
    894.00   294.15   289.25    73.56    -8.31     0.57  1077.22
    853.00   291.75   288.05    79.05    -7.74    -0.59  1482.71
    850.00   291.55   288.25    81.09    -7.69    -0.67  1513.00
    826.00   289.55   286.95    84.60    -8.21    -0.83  1758.43
    794.00   288.55   284.45    76.54    -8.92    -1.06  2095.05
    759.00   286.35   284.45    88.25    -9.73    -1.35  2476.89
    741.00   285.75   281.95    77.64   -10.16    -1.52  2679.12
    730.00   285.55   277.55    58.12   -10.42    -1.64  2804.82
    719.00   284.75   276.75    57.92   -10.69    -1.75  2932.10
    712.00   284.15   280.75    79.54   -10.86    -1.83  3013.96
    703.00   283.75   280.65    81.13   -11.08    -1.93  3120.30
    700.00   283.55   279.95    78.37   -11.16    -1.97  3156.00
    677.00   282.35   275.35    61.56   -10.89    -2.02  3433.59
    670.00   282.15   269.15    39.66   -10.80    -2.03  3519.61
    663.00   281.35   273.35    57.05   -10.72    -2.05  3606.37
    654.00   280.95   270.95    49.19   -10.61    -2.06  3719.05
    635.00   278.95   271.95    60.74   -10.37    -2.10  3961.05
    627.00   278.95   261.95    28.28   -10.27    -2.11  4064.67
    623.00   278.15   270.15    56.22   -10.22    -2.12  4116.89
    619.00   278.35   263.35    32.94   -10.17    -2.13  4169.40
    605.00   276.95   264.95    41.18    -9.98    -2.15  4355.41
    595.00   276.75   255.75    19.84    -9.85    -2.17  4490.48
    579.00   275.95   249.95    12.72    -9.63    -2.19  4710.83
    560.00   274.15   252.15    17.55    -9.36    -2.22  4979.24
    555.00   273.35   259.35    34.09    -9.29    -2.22  5051.08
    552.00   272.65   266.65    63.87    -9.24    -2.22  5094.41
    550.00   272.45   267.75    70.48    -9.22    -2.23  5123.40
    546.00   272.65   263.65    50.61    -9.16    -2.23  5181.69
    537.00   271.45   267.15    72.46    -9.02    -2.24  5314.17
    532.00   271.65   263.65    54.45    -8.95    -2.24  5388.60
    529.00   271.25   266.35    69.17    -8.90    -2.25  5433.57
    521.00   270.65   266.35    72.30    -8.78    -2.25  5554.57
    507.00   269.85   262.85    58.41    -8.56    -2.26  5770.23
    500.00   269.25   263.25    63.05    -8.45    -2.26  5880.00
    499.00   269.05   264.05    68.16    -8.42    -2.21  5895.87
    491.00   268.45   260.45    53.55    -8.19    -1.76  6023.73
    485.00   267.45   262.45    67.80    -7.99    -1.44  6120.70
    480.00   267.05   260.05    57.66    -7.81    -1.18  6202.22
    476.00   267.05   244.05    14.31    -7.67    -0.98  6267.94
    468.00   266.25   233.25     5.25    -7.35    -0.60  6400.76
    400.00   258.05   218.05     1.83    -3.87     1.41  7610.00
    395.00   257.45   213.45     1.09    -4.37     1.63  7705.06
    379.00   255.45   236.45    17.37    -5.97     2.40  8015.99
    344.00   249.65   236.65    29.28    -9.58     4.52  8733.62
    337.00   248.85   225.85    10.02   -10.32     5.02  8883.88
    324.00   246.45   221.45     7.53   -11.70     6.04  9169.53
    300.00   241.45   223.45    15.16   -14.26     8.24  9720.00
    295.00   240.25   224.25    18.64   -13.65     8.79  9838.06
    281.00   238.65   217.65    10.03   -11.78    10.15 10177.58
    258.00   233.85   216.85    14.76    -8.26    11.72 10765.93
    250.00   232.25   211.25     8.58    -6.95    12.04 10980.00
    235.00   228.65   200.65     2.90    -6.38    11.70 11398.66
    200.00   219.65   193.65     2.76    -5.00    10.73 12460.00
    195.00   218.25   193.25     3.06    -4.32    10.73 12622.33
    170.00   211.25   193.25     7.38    -0.92    10.05 13485.17
    165.00   210.65   191.65     6.15    -0.27     9.77 13669.59
    150.00   205.25   183.25     2.99     1.52     8.62 14250.00
    146.00   204.05   182.05     2.84     1.94     8.18 14411.63
    138.00   202.65   178.65     1.82     2.67     7.21 14746.49
    128.00   199.25   176.25     1.87     3.33     5.86 15188.19
    124.00   198.65   176.65     2.21     3.50     5.28 15372.76
    113.00   195.05   173.05     1.85     3.64     3.64 15907.10
    109.00   196.45   174.45     1.99     3.96     3.05 16113.25
    106.00   196.25   175.25     2.41     4.14     2.58 16273.37
    103.00   198.25   176.25     2.17     4.27     2.09 16438.85
    100.00   198.05   175.05     1.76     4.35     1.58 16610.00
     70.00   200.65   175.65     1.35   -15.21     2.68 18680.00
     50.00   209.45   179.45     0.83   -26.87    -4.74 20690.00
     30.00   219.05   186.05     0.83    -2.68     1.55 23900.00
     20.00   222.85   188.85     0.86   -11.66    -2.06 26510.00
     10.00   230.05   194.05     0.91   -10.70     6.18 31120.00
