
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PKMJ          STNM =    91376    TIME = 200706/1200         
 SLAT =   7.07     SLON =   171.29   SELV =     4.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1011.00   300.35   297.25    83.18    -0.00    -2.57     4.00
   1010.00   299.35   295.85    81.08    -0.23    -2.89    12.71
   1003.00   298.75   295.25    81.00    -3.07    -4.18    73.75
   1000.00   298.75   294.45    77.13    -4.73    -3.97   100.00
    998.00   298.75   294.25    76.19    -4.82    -3.87   117.67
    974.00   298.15   295.15    83.44    -5.68    -2.43   332.42
    925.00   295.15   292.55    85.19    -6.09     1.07   785.00
    866.00   291.55   289.15    85.90    -7.56     1.87  1355.81
    850.00   290.75   288.75    88.06    -7.96     2.13  1516.00
    715.00   284.15   283.05    92.92    -9.15     0.26  2981.95
    700.00   280.15   275.95    74.61    -9.27     0.00  3158.00
    675.00   281.55   280.45    92.78    -9.21     0.00  3458.76
    655.00   280.35   278.45    87.72    -9.17     0.00  3707.72
    640.00   278.35   274.05    73.76    -9.13     0.00  3898.22
    629.00   278.55   276.25    85.11    -9.10     0.00  4040.27
    620.00   277.55   272.55    69.96    -9.08     0.00  4158.17
    601.00   277.35   273.95    78.53    -9.03     0.00  4412.19
    590.00   276.35   272.55    76.12    -9.01     0.00  4562.63
    583.00   275.75   273.25    83.57    -8.99     0.00  4659.55
    579.00   275.35   269.35    64.51    -8.98     0.00  4715.33
    577.00   275.35   268.35    59.84    -8.97     0.00  4743.33
    572.00   275.35   269.35    64.51    -8.96     0.00  4813.76
    561.00   274.55   267.55    59.63    -8.93     0.00  4970.66
    550.00   274.15   257.15    26.85    -8.90     0.00  5130.16
    546.00   273.55   259.55    34.15    -8.89     0.00  5188.81
    542.00   273.55   257.55    28.98    -8.87     0.00  5247.83
    533.00   272.45   253.45    22.21    -8.85     0.00  5381.93
    532.00   272.25   257.25    31.07    -8.85     0.00  5396.93
    528.00   271.45   267.55    74.70    -8.83     0.00  5457.17
    524.00   271.45   264.45    58.83    -8.82     0.00  5517.82
    507.00   270.05   259.05    42.39    -8.77     0.00  5779.98
    500.00   269.05   264.15    68.69    -8.75     0.00  5890.00
    498.00   269.05   264.25    69.23    -8.71    -0.04  5921.54
    490.00   269.25   254.25    30.14    -8.56    -0.20  6048.95
    483.00   268.85   243.85    12.25    -8.42    -0.34  6161.99
    473.00   267.45   242.45    11.94    -8.22    -0.54  6325.75
    468.00   266.65   254.65    37.97    -8.11    -0.63  6408.63
    463.00   266.05   254.05    37.78    -8.01    -0.72  6492.20
    450.00   264.05   258.05    61.74    -7.72    -0.96  6712.76
    438.00   262.65   252.65    43.69    -7.44    -1.16  6920.73
    431.00   261.45   252.45    47.25    -7.27    -1.28  7044.05
    420.00   260.05   249.05    39.21    -6.99    -1.45  7240.93
    414.00   259.85   237.85    13.88    -6.84    -1.54  7350.13
    409.00   259.05   236.05    12.37    -6.70    -1.61  7442.14
    400.00   257.85   241.85    24.13    -6.46    -1.73  7610.00
    389.00   255.85   243.85    34.45    -6.86    -1.78  7820.57
    383.00   255.45   240.45    25.77    -7.09    -1.80  7937.41
    374.00   253.85   240.85    30.69    -7.43    -1.83  8115.42
    368.00   252.85   244.85    48.84    -7.66    -1.85  8235.89
    357.00   251.05   245.05    58.20    -8.10    -1.87  8460.72
    336.00   247.65   242.65    62.92    -8.99    -1.91  8905.21
    330.00   246.85   237.85    42.47    -9.25    -1.91  9036.19
    325.00   246.05   236.05    38.16    -9.47    -1.91  9146.79
    308.00   242.65   234.65    45.46   -10.26    -1.89  9532.68
    303.00   242.05   232.05    36.76   -10.50    -1.88  9649.27
    300.00   241.65   231.65    36.61   -10.65    -1.88  9720.00
    296.00   241.25   232.25    40.52   -10.99    -1.36  9814.60
    286.00   239.05   233.05    54.55   -11.75     0.10 10055.52
    271.00   236.25   230.25    53.64   -12.52     2.73 10429.23
    250.00   231.65   225.65    52.10   -12.48     7.21 10980.00
    227.00   226.05   218.05    39.45    -9.20     4.86 11628.99
    218.00   224.85   215.85    34.46    -7.78     3.95 11896.98
    200.00   219.85   211.85    37.04    -4.67     2.18 12460.00
    173.00   212.05   204.05    33.89     0.30     5.66 13372.65
    154.00   206.45   198.45    31.56     5.14     3.26 14082.06
    150.00   205.45   197.45    31.13     5.81     2.11 14240.00
    138.00   202.85   193.85    25.62     5.19     3.16 14738.76
    132.00   200.45   192.45    29.00     4.78     3.65 15001.39
    124.00   199.65   191.65    28.65     4.14     4.26 15367.86
    122.00   200.65   191.65    24.71     3.96     4.40 15463.21
    120.00   200.65   191.65    24.71     3.77     4.53 15560.39
    111.00   197.65   189.65    27.79     2.82     5.06 16015.30
    108.00   197.65   189.65    27.79     2.47     5.20 16173.98
    106.00   198.85   189.85    23.96     2.23     5.28 16282.55
    100.00   196.45   188.45    27.27     1.46     5.47 16620.00
     70.00   199.65   188.65    17.36    -8.95     2.40 18670.00
     50.00   211.05   198.05    16.02   -21.88     5.86 20690.00
     30.00   217.65   200.65    10.28    -8.62    -1.52 23880.00
     20.00   222.25   200.25     5.61   -11.44    -9.60 26490.00
     10.00   229.65   200.65     2.60    -8.95     2.40 31130.00
