
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = RAP           STNM =    72662    TIME = 200706/1800         
 SLAT =  44.08     SLON =  -103.21   SELV =  1029.0
 STIM =  1800

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    900.00   301.55   285.55    37.18    -0.22     2.56  1029.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    95.00
    925.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   785.00
    891.00   298.75   280.75    31.79    -0.63     2.98  1117.06
    886.00   298.35   281.35    33.91    -0.90     3.19  1166.06
    880.60   297.85   281.14    34.45    -1.23     3.38  1219.00
    850.00   294.95   279.95    37.84    -1.33     4.97  1525.00
    820.41   292.10   278.05    39.57    -0.98     5.57  1829.00
    791.77   289.23   276.14    41.46    -2.83     6.06  2134.00
    789.00   288.95   275.95    41.65    -2.72     6.39  2164.03
    769.00   286.75   276.75    50.80    -1.34     8.68  2381.21
    763.83   286.32   278.04    57.17    -0.81     9.23  2438.00
    757.00   285.75   279.75    66.83     0.42    10.02  2513.58
    744.00   285.35   281.35    76.54     3.31    11.02  2659.15
    736.58   285.02   280.36    73.12     5.22    11.20  2743.00
    700.00   283.35   275.35    57.57     5.30     6.31  3169.00
    695.00   282.95   273.95    53.48     5.19     5.52  3228.62
    684.54   281.80   273.28    55.06     4.73     3.97  3353.00
    659.55   278.98   271.64    59.22     2.57     4.46  3658.00
    635.54   276.17   270.00    63.86     1.46     1.46  3962.00
    632.00   275.75   269.75    64.60     2.07     1.68  4007.84
    620.00   275.15   264.15    43.95     4.51     1.53  4162.72
    612.01   274.59   263.31    42.82     6.16     0.54  4267.00
    592.00   273.15   261.15    40.01    11.01     3.60  4534.09
    589.20   272.80   261.03    40.66    11.61     4.23  4572.00
    580.00   271.65   260.65    42.89    11.68     3.33  4697.57
    568.00   270.85   252.85    23.73    11.67     2.15  4863.71
    567.05   270.76   252.42    23.01    11.66     2.06  4877.00
    557.00   269.85   247.85    16.43    12.53     0.68  5018.52
    545.44   268.45   247.03    16.95    13.33    -1.17  5182.00
    500.00   262.65   243.65    19.41    23.38    -6.26  5860.00
    497.00   262.25   243.25    19.29    23.67    -6.34  5906.27
    491.00   261.45   236.45    10.60    24.25    -6.50  5999.43
