
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PHTO          STNM =    91285    TIME = 200707/1200         
 SLAT =  19.72     SLON =  -155.05   SELV =    12.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1016.00   295.35   292.85    85.74    -0.00    -0.00    12.00
   1000.00   296.55   290.55    69.02     2.33    -1.09   153.00
    998.00   296.35   290.35    68.98     2.38    -0.97   170.51
    982.63   295.13   290.14    73.30     2.57    -0.00   305.00
    948.65   292.37   289.66    84.31    -0.84     0.59   610.00
    934.00   291.15   289.45    89.79    -4.26     1.52   744.92
    925.00   290.55   288.75    89.18    -6.59     1.16   828.00
    919.00   289.75   287.55    86.84    -6.59     1.16   883.72
    915.73   289.61   287.35    86.52    -6.59     1.16   914.00
    883.47   288.20   285.38    83.28    -7.10    -1.25  1219.00
    856.00   286.95   283.65    80.47    -8.74    -2.24  1487.55
    852.32   286.83   282.91    77.22    -8.95    -2.40  1524.00
    850.00   286.75   282.45    75.23    -7.46    -2.00  1547.00
    847.00   286.75   281.75    71.75    -7.40    -1.98  1576.84
    830.00   285.55   283.35    86.43    -7.11    -1.90  1747.64
    822.00   285.35   282.70    83.86    -6.96    -1.87  1829.00
    814.00   285.15   282.05    81.32    -7.18    -1.57  1911.19
    792.51   283.66   280.56    81.12    -7.69    -0.67  2134.00
    764.11   281.62   278.52    80.84    -4.22    -2.95  2438.00
    755.00   280.95   277.85    80.75    -4.40    -3.27  2537.84
    750.00   280.35   278.55    88.33    -4.50    -3.45  2592.69
    736.46   280.71   278.91    88.36    -4.73    -3.97  2743.00
    735.00   280.75   278.95    88.36    -4.87    -3.93  2759.43
    733.00   280.75   275.85    71.10    -5.06    -3.88  2781.93
    729.00   281.15   257.15    16.45    -5.45    -3.74  2827.05
    726.00   281.35   247.35     6.93    -5.73    -3.62  2861.04
    724.00   282.95   250.95     8.58    -5.92    -3.52  2883.84
    720.00   283.35   251.35     8.65    -6.31    -3.32  2929.80
    709.79   282.54   250.03     8.13    -7.25    -2.64  3048.00
    700.00   281.75   248.75     7.65    -7.00    -3.26  3163.00
    659.01   278.85   248.03     8.74    -3.09    -5.35  3658.00
    644.00   277.75   247.75     9.20    -3.42    -4.95  3846.93
    624.00   278.15   229.15     1.42    -3.80    -4.38  4103.99
    611.57   277.35   228.35     1.38    -4.00    -4.00  4267.00
    588.98   275.85   226.85     1.30    -6.29    -2.29  4572.00
    573.00   274.75   225.75     1.24    -5.61    -2.90  4794.85
    567.18   274.75   228.97     1.77    -5.35    -3.09  4877.00
    564.00   274.75   230.75     2.15    -5.25    -3.09  4922.33
    560.00   274.35   248.35    12.36    -5.12    -3.08  4979.62
    555.00   273.95   241.95     7.03    -4.95    -3.06  5051.71
    540.00   272.05   249.05    15.56    -4.46    -3.00  5271.03
    513.00   269.05   245.05    13.50    -3.58    -2.79  5677.95
    505.00   268.45   235.45     5.56    -3.32    -2.71  5801.79
    500.00   267.85   236.85     6.70    -3.16    -2.65  5880.00
    486.10   266.26   235.13     6.36    -2.42    -0.88  6096.00
    400.00   255.25   223.25     4.27    -3.27     3.27  7590.00
    398.39   255.00   222.82     4.16    -3.27     3.27  7620.00
    391.00   253.85   220.85     3.64    -2.14     3.74  7759.37
    369.00   251.45   208.45     0.94     0.98     3.16  8187.15
    323.15   243.06   202.68     0.91     0.84    -0.59  9144.00
    317.00   241.85   201.85     0.90     1.24    -0.71  9282.51
    300.00   239.05   205.05     1.86     2.48    -0.67  9670.00
    250.00   228.25   202.25     3.83     3.57    -2.06 10920.00
    247.00   227.65   203.65     4.99     4.72    -1.41 11000.56
    241.00   226.45   208.45    11.07     6.45     1.22 11164.02
    236.85   225.78   206.61     9.29     6.69     3.86 11278.00
    214.00   221.85   195.85     3.01    11.28     5.02 11943.74
    200.00   218.65   192.65     2.65    14.51     5.28 12380.00
    169.76   211.25   191.09     5.19    24.11     2.11 13411.00
    169.00   211.05   191.05     5.29    23.98     2.33 13439.17
    150.00   207.65   184.65     2.77    19.84     7.22 14170.00
    146.18   206.51   184.46     3.13    19.84     7.22 14326.00
    146.00   206.45   184.45     3.15    19.82     7.20 14333.56
    129.00   203.85   179.85     1.93    18.40     4.93 15075.83
    125.50   203.97   179.97     1.94    17.41     4.66 15240.00
    123.00   204.05   180.05     1.95    15.90     3.11 15359.74
    119.22   203.45   179.12     1.78    13.33     1.17 15545.00
    113.25   202.46   177.58     1.52    12.48     7.20 15850.00
    112.00   202.25   177.25     1.47    11.88     6.49 15916.00
    109.00   203.85   176.85     1.08    10.30     4.89 16077.13
    106.00   203.85   175.85     0.88     8.54     3.45 16243.41
    105.00   204.05   175.78     0.85     7.91     3.02 16299.91
    102.00   203.05   175.59     0.94     5.90     1.85 16472.36
    100.00   203.45   175.45     0.86     4.47     1.20 16590.00
     70.00   205.85 -9999.00 -9999.00   -14.87    -1.30 18720.00
     50.00   208.05 -9999.00 -9999.00   -20.08     0.00 20750.00
     30.00   219.25 -9999.00 -9999.00   -26.15    -2.29 23950.00
     20.00   223.25 -9999.00 -9999.00   -23.08     2.02 26570.00
     10.00   229.05 -9999.00 -9999.00   -23.68     0.00 31150.00
