
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LHUD          STNM =    12982    TIME = 200707/1200         
 SLAT =  46.25     SLON =    20.10   SELV =    83.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1007.00   290.75   286.15    74.41    -1.72    -2.46    83.00
   1003.00   290.15   285.15    72.38    -1.75    -3.11   117.26
   1000.00   289.95   284.95    72.34    -1.69    -3.63   143.00
    995.00   289.55   284.85    73.72    -1.72    -4.21   185.73
    987.00   288.95   284.85    76.60    -1.66    -5.18   254.44
    982.00   288.76   284.31    74.83    -1.55    -5.80   297.47
    971.00   288.33   283.12    71.01    -1.04    -5.91   392.92
    948.00   287.43   280.57    63.38     0.61    -6.97   596.04
    946.00   287.35   280.35    62.74     0.67    -7.05   613.94
    925.00   285.75   280.75    71.57     1.39    -7.88   803.00
    914.00   284.86   280.16    72.91     2.07    -7.73   902.87
    879.00   281.95   278.25    77.58     2.66    -9.91  1228.83
    853.00   280.34   276.28    75.40     3.11   -11.59  1476.89
    850.00   280.15   276.05    75.14     3.11   -11.59  1506.00
    790.00   276.61   268.68    56.09     2.26   -12.80  2104.12
    789.00   276.55   268.55    55.79     2.45   -12.73  2114.47
    735.00   272.68   267.81    69.64     9.53    -5.50  2683.08
    703.00   270.25   267.35    80.40     7.12    -5.79  3040.10
    700.00   270.25   266.55    75.63     6.89    -5.79  3074.00
    685.00   269.25   258.25    42.14     5.16    -7.37  3245.11
    674.00   271.85   253.85    24.02    10.30    -7.97  3373.29
    666.00   271.60   249.31    16.45    14.50    -6.76  3468.18
    661.00   271.45   246.45    12.85    13.94    -6.66  3528.07
    640.00   271.65   239.65     6.66    11.56    -6.13  3784.48
    633.00   272.25   235.25     4.11    10.77    -5.90  3871.95
    622.00   271.18   234.70     4.20     9.53    -5.50  4007.82
    607.00   269.69   233.93     4.34     8.19    -5.74  4197.02
    500.00   257.85   227.85     5.76    12.26   -10.28  5700.00
    430.00   253.25   216.25     2.20    19.35   -14.38  6827.43
    400.00   250.25   221.25     5.22    22.94   -16.06  7360.00
    306.00   235.23   221.05    21.21    27.03   -18.93  9263.18
    305.00   235.05   221.05    21.61    27.03   -18.93  9286.44
    300.00   234.25   220.25    21.34    27.03   -18.93  9400.00
    262.00   229.20   215.20    19.65    25.98   -15.00 10313.71
    254.00   228.04   214.04    19.27    25.98   -15.00 10522.91
    250.00   227.45   213.45    19.07    25.98   -15.00 10630.00
    246.00   227.02   212.80    18.41    25.38   -11.83 10736.25
    229.00   225.09   209.91    15.66    23.49    -8.55 11208.00
    200.00   221.45   204.45    11.28    25.37    -9.23 12100.00
    197.00   220.85   203.85    11.12    24.43    -8.89 12197.89
    188.00   220.85   202.85     9.65    22.36    -2.05 12500.37
    182.00   221.66   202.76     8.65    19.92     1.74 12711.03
    175.00   222.65   202.65     7.60    18.38    -2.34 12965.75
    168.00   221.38   200.32     6.27    15.97    -5.81 13230.52
    162.00   220.25   198.25     5.26    18.08    -5.72 13466.40
    156.00   224.85   200.85     4.55    20.28    -5.44 13712.40
    150.00   223.65   197.65     3.23    10.96    -0.96 13970.00
    139.00   220.18   192.01     1.99     9.97     4.65 14462.60
    135.00   218.85   189.85     1.63    11.47     8.03 14651.46
    132.00   219.31   190.31     1.67    12.26    10.28 14796.02
    121.00   221.08   192.08     1.81    13.59     6.34 15355.74
    120.00   221.25   192.25     1.82    13.17     6.55 15409.13
    111.00   219.30   191.11     1.90     9.19     7.71 15910.64
    109.00   218.85   190.85     1.93     9.29     7.32 16027.60
    107.00   219.85   191.85     2.01     9.37     6.93 16146.35
    100.00   218.65   190.65     1.91     9.53     5.50 16580.00
     70.00   216.45   189.45     2.04     4.92    -0.87 18840.00
     50.00   218.05   191.05     2.19    -4.83     1.29 20980.00
     30.00   222.65   195.65     2.66    -7.88     1.39 24280.00
     20.00   226.65   199.65     3.12   -13.11     9.18 26940.00
     10.00   237.25   207.25     3.02   -19.92     1.74 31630.00
