
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    89532    TIME = 200707/1200         
 SLAT = -69.00     SLON =    39.58   SELV =    21.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    993.00   250.45   243.45    52.83    -1.52     0.27    21.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -30.00
    991.00   252.85   244.85    48.84    -1.67     0.13    35.90
    988.00   254.25   245.25    44.95    -1.87    -0.13    58.49
    970.00   254.36   244.25    40.55    -1.77    -2.53   195.93
    925.00   254.65   241.65    30.96    -1.77    -2.53   551.00
    922.00   254.68   241.68    30.97    -1.77    -2.53   575.42
    907.00   254.85   241.85    31.02    -1.75    -2.80   698.71
    862.00   253.25   246.25    53.69    -1.51    -3.64  1080.16
    850.00   253.65   239.65    27.79    -1.41    -3.87  1185.00
    848.00   253.65   240.65    30.62    -1.36    -3.89  1202.41
    831.00   253.05   240.05    30.42    -0.95    -4.01  1351.87
    808.00   253.62   232.00    12.84    -0.36    -4.10  1559.02
    807.00   253.65   231.65    12.34    -0.37    -4.06  1568.16
    782.00   253.10   231.10    12.21    -0.54    -3.04  1800.04
    745.00   252.25   230.25    12.01    -0.54    -3.04  2157.19
    725.00   251.29   230.60    13.55    -0.54    -3.04  2356.27
    700.00   250.05   231.05    15.85     1.03    -1.78  2613.00
    688.00   249.12   231.63    18.31     1.58    -1.32  2737.72
    655.00   246.47   233.26    27.60     1.41    -3.87  3092.24
    617.00   243.25   235.25    45.67     3.36    -3.37  3523.31
    595.00   241.93   231.29    34.31     4.46    -2.57  3780.51
    584.00   241.25   229.25    29.45     4.77    -2.70  3912.70
    558.00   238.85   232.85    54.48     5.55    -2.97  4232.39
    543.00   237.65   227.65    35.18     6.02    -3.11  4422.23
    500.00   233.05   228.05    58.68     7.47    -3.48  4990.00
    499.00   233.05   228.05    58.68     7.51    -3.48  5003.65
    400.00   223.25 -9999.00 -9999.00    11.66    -2.06  6480.00
    371.00   220.16 -9999.00 -9999.00    16.93    -1.48  6958.76
    300.00   211.45 -9999.00 -9999.00    18.98    -1.66  8310.00
    259.00   204.85 -9999.00 -9999.00    17.17    -2.73  9207.94
    250.00   203.65 -9999.00 -9999.00    16.73    -2.95  9420.00
    200.00   198.05 -9999.00 -9999.00    16.33    -7.62 10730.00
    190.00   196.85 -9999.00 -9999.00    16.41    -4.40 11027.09
    150.00   196.25 -9999.00 -9999.00    16.33    -7.62 12390.00
    128.00   195.45 -9999.00 -9999.00    14.36    -7.93 13294.75
    100.00   192.65 -9999.00 -9999.00    11.39    -7.97 14690.00
     84.40   189.05 -9999.00 -9999.00    12.01   -12.01 15643.08
     70.00   187.45 -9999.00 -9999.00    13.82    -7.98 16680.00
     50.00   185.45 -9999.00 -9999.00    17.39   -10.04 18500.00
     30.00   183.25 -9999.00 -9999.00    21.00    -9.79 21260.00
     20.60   184.55 -9999.00 -9999.00    24.45   -20.52 23290.35
     20.00   184.65 -9999.00 -9999.00    25.30   -17.72 23450.00
     15.80 -9999.00 -9999.00 -9999.00    28.93   -13.49 -9999.00
