
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = TFX           STNM =    72776    TIME = 200707/1800         
 SLAT =  47.46     SLON =  -111.39   SELV =  1134.0
 STIM =  1800

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    880.00   294.95   285.95    56.58     4.30    -5.12  1134.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    10.00
    925.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   697.00
    873.00   292.95   283.95    56.08     4.57    -5.67  1202.54
    850.00   290.95   282.95    59.45     5.32    -7.59  1430.00
    811.03   287.25   282.17    71.46     6.92    -6.92  1829.00
    810.00   287.15   282.15    71.83     7.01    -6.84  1839.83
    782.15   285.83   279.04    63.28     9.33    -4.35  2134.00
    764.00   284.95   276.95    57.97     7.71    -3.08  2331.43
    754.24   284.07   276.71    60.44     6.78    -2.47  2438.00
    726.98   281.55   276.04    68.25     7.69     0.67  2743.00
    704.00   279.35   275.45    76.08     5.47     7.24  3009.25
    700.68   279.35   275.62    76.98     4.63     8.03  3048.00
    700.00   279.35   275.65    77.17     6.32     4.43  3056.00
    693.00   278.75   275.25    78.18     6.44     6.69  3138.35
    688.00   279.35   274.35    70.32     6.12     8.43  3197.67
    675.02   278.26   273.33    70.47     3.46    12.92  3353.00
    653.00   276.35   271.55    70.75     2.96    15.84  3623.42
    650.22   276.43   270.76    66.36     2.86    16.22  3658.00
    646.00   276.55   269.55    60.14     2.64    16.44  3710.82
    626.22   275.24   267.06    54.66     1.53    17.43  3962.00
    613.00   274.35   265.35    51.10     2.34    17.06  4134.27
    602.79   273.17   264.88    53.65     2.95    16.73  4267.00
    558.02   267.75   262.72    67.74     3.73    13.92  4877.00
    537.00   265.05   261.65    76.50     5.00    13.79  5180.43
    516.17   262.40   260.61    86.64     6.31    13.53  5486.00
    515.00   262.25   260.55    87.27     6.72    13.95  5503.56
    504.00   261.25   256.25    66.37    11.13    17.47  5669.09
    500.00   260.85   255.95    66.83    12.99    18.55  5730.00
    476.35   257.69   254.37    75.66    10.29    17.83  6096.00
    456.00   254.85   252.95    85.00    10.46    20.26  6425.75
    447.00   253.65   251.15    80.51    10.47    21.38  6574.19
    441.00   253.25   247.25    58.83    10.45    22.15  6674.48
    439.13   252.98   246.72    57.34    10.44    22.39  6706.00
    434.00   252.25   245.25    53.39    10.25    22.63  6792.88
    430.00   251.85   237.85    27.20    10.09    22.81  6861.20
    420.00   250.25   236.25    26.67     9.69    23.26  7034.09
    415.00   249.25   239.25    39.27     9.48    23.49  7121.63
    413.00   249.25   240.25    43.29     9.39    23.59  7156.87
    411.00   249.65   245.45    68.34     9.30    23.68  7192.32
    405.00   248.85   246.05    77.57     9.04    23.96  7299.64
    400.00   248.05   245.35    78.15     8.80    24.19  7390.00
    388.00   246.45   243.35    74.98     8.80    24.19  7611.59
    387.55   246.38   243.28    74.95     8.80    24.19  7620.00
    356.00   241.45   238.15    72.50     9.38    21.76  8229.35
    341.00   238.85   233.95    61.06     9.57    20.53  8533.45
    340.97   238.85   233.95    61.06     9.57    20.53  8534.00
    313.00   234.05   229.05    58.99    14.03    24.43  9129.32
    312.33   233.95   228.79    57.91    14.15    24.52  9144.00
    305.00   232.85   225.85    46.98    14.61    25.31  9307.09
    300.00   231.65   225.65    52.10    14.93    25.86  9420.00
    265.00   224.02   218.02    49.41    19.56    33.88 10246.51
    260.41   222.95   216.95    49.01    19.56    33.88 10363.00
    260.00   222.85   216.85    48.98    19.55    33.86 10373.42
    258.00   223.45   216.45    43.52    19.50    33.78 10423.93
    252.00   223.05   213.05    29.73    19.35    33.52 10577.94
    250.00   222.65   211.65    25.99    19.30    33.44 10630.00
    236.00   220.25   208.25    21.94    18.83    29.64 11002.84
    222.00   219.05   206.05    18.75    18.01    25.72 11395.27
    219.00   220.45   206.45    16.77    18.15    25.30 11482.61
    214.00   220.25   203.25    10.96    18.36    24.58 11631.29
    200.00   223.65   195.65     2.37    18.86    22.48 12070.00
    185.00   223.45   189.45     0.89    17.74    22.63 12580.92
    178.00   222.45   188.45     0.84    17.19    22.69 12833.02
    174.00   223.85   189.85     0.91    16.86    22.71 12981.70
    172.00   225.25   190.25     0.83    16.70    22.73 13057.80
    168.00   224.85   190.85     0.96    16.37    22.75 13213.04
    166.00   225.65   190.65     0.85    16.20    22.76 13292.12
    163.04   225.43   190.80     0.89    15.95    22.77 13411.00
    158.00   225.05   191.05     0.97    16.97    19.77 13618.42
    150.00   223.45   190.13     1.00    17.75    14.89 13960.00
    148.61   223.52   189.96     0.96    16.96    14.23 14021.00
    146.00   223.65   189.65     0.90    13.75    15.05 14136.89
    141.83   222.59   189.18     0.94     8.75    15.16 14326.00
    139.00   221.85   188.85     0.97     9.99    14.64 14457.29
    136.00   222.65   188.65     0.85    11.30    13.97 14599.26
    131.00   222.65   188.65     0.85    13.43    12.54 14843.42
    129.16   222.04   188.20     0.85    14.19    11.91 14935.00
    123.20   219.99   186.69     0.83    11.58    13.80 15240.00
    120.00   218.85   185.85     0.82    12.43    13.44 15410.22
    117.49   218.11   185.85     0.90    13.10    13.10 15545.00
    112.00   216.45   185.85     1.10    12.23    10.26 15849.83
    105.00   217.85   185.85     0.92     9.08     7.62 16260.12
    100.00   216.05 -9999.00 -9999.00     6.70     5.62 16570.00
