
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = 1Y7           STNM =    74004    TIME = 200707/2100         
 SLAT =  32.85     SLON =  -114.40   SELV =    98.0
 STIM =  2200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    991.00   316.15   285.15    16.17     4.37     4.37    98.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    48.00
    989.00   314.35   284.35    16.86     4.29     4.51   117.75
    986.00   313.95   283.95    16.77     4.17     4.72   147.33
    970.01   312.46   283.49    17.61     3.34     5.79   305.00
    939.80   309.59   282.60    19.39     2.47     6.78   610.00
    925.00   308.15   282.15    20.38     2.39     5.13   763.00
    909.58   306.70   281.87    21.68     2.98     3.55   914.00
    879.20   303.76   281.30    24.64     1.25     7.10  1219.00
    861.00   301.95   280.95    26.70     1.56     6.71  1406.87
    850.00   301.15   280.15    26.49     1.73     6.46  1521.00
    820.58   298.48   276.76    24.49     2.39     5.13  1829.00
    792.44   295.83   273.39    22.58     1.94     5.32  2134.00
    771.00   293.75   270.75    21.14     3.30     4.60  2373.84
    765.22   293.16   271.17    22.62     3.64     4.34  2438.00
    738.31   290.34   273.17    31.23     5.52     4.63  2743.00
    700.00   286.15   276.15    50.64     4.73     6.75  3197.00
    687.08   284.80   275.93    54.45     5.02     7.17  3353.00
    666.00   282.55   275.55    61.61     8.44     7.65  3613.91
    662.44   282.19   275.44    62.64     9.07     7.61  3658.00
    638.44   279.70   274.68    70.33    10.25     8.60  3962.00
    615.23   277.20   273.92    79.23     8.27     9.86  4267.00
    613.00   276.95   273.85    80.18     8.28     9.79  4296.98
    586.00   274.35   264.35    47.28     8.36     8.89  4662.21
    570.52   272.37   263.84    52.42     8.37     8.37  4877.00
    565.00   271.65   263.65    54.45     8.25     7.55  4954.96
    563.00   271.65   261.65    46.47     8.19     7.25  4983.27
    561.00   273.35   232.35     2.81     8.13     6.96  5011.73
    560.00   273.75   234.75     3.50     8.09     6.82  5026.04
    549.21   273.09   231.12     2.52     7.59     5.32  5182.00
    542.00   272.65   228.65     1.99     7.36     5.49  5287.82
    535.00   272.85   224.85     1.29     7.12     5.65  5391.81
    508.82   270.41   224.04     1.41     6.19     6.19  5791.00
    503.00   269.85   223.85     1.44     6.36     2.15  5882.62
    500.00   270.25   222.25     1.16     5.64     0.49  5930.00
    497.00   270.45   222.45     1.17     5.48     0.62  5977.60
    489.53   269.57   223.42     1.40     5.07     0.89  6096.00
    470.82   267.29   225.92     2.20     3.48    -0.93  6401.00
    447.00   264.25   229.25     4.01     5.75    -2.02  6807.06
    441.00   265.25   223.25     1.90     6.31    -2.37  6911.75
    418.41   261.80   229.50     5.00     8.40    -3.92  7315.00
    402.09   259.19   234.23    10.16     8.40    -3.92  7620.00
    400.00   258.85   234.85    11.13     8.86    -4.13  7660.00
    355.01   251.55   230.78    13.51     8.24    -0.00  8534.00
    326.64   246.45   227.94    15.69     7.10    -5.96  9144.00
    313.32   243.90   226.52    16.99     7.94    -9.47  9449.00
    309.00   243.05   226.05    17.46     9.18    -8.27  9550.75
    300.00   242.05   219.05     8.54    11.20    -5.22  9760.00
    287.59   240.14   215.24     6.44    13.43    -3.60 10058.00
    287.00   240.05   215.05     6.34    13.45    -3.66 10072.59
    265.00   235.45   214.45     9.29    13.97    -6.30 10627.63
    263.29   235.13   214.26     9.37    13.99    -6.53 10668.00
    108.00   191.05   187.95    59.33 -9999.00 -9999.00 16230.65
