
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = GGW           STNM =    72768    TIME = 200707/2100         
 SLAT =  48.21     SLON =  -106.61   SELV =   700.0
 STIM =  2000

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    925.00   298.35   291.35    65.16    -7.46     2.00   700.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00     5.00
    918.00   297.75   287.75    53.70    -8.59     3.60   766.53
    902.56   296.80   287.12    54.56    -9.86     8.27   914.00
    871.45   294.84   285.81    56.44    -9.83     9.83  1219.00
    870.00   294.75   285.75    56.53    -9.23    10.25  1233.50
    860.00   295.15   284.15    49.64    -4.71    12.20  1333.53
    852.00   296.95   276.95    27.20    -0.93    12.47  1414.58
    850.00   297.15   275.15    23.66     0.00    12.36  1435.00
    845.00   297.15   274.15    22.02     1.80    11.93  1486.51
    841.29   296.83   273.97    22.16     3.06    11.44  1524.00
    811.72   294.20   272.49    23.35     3.06    11.44  1829.00
    783.18   291.58   271.00    24.64     0.00    11.84  2134.00
    755.74   288.97   269.52    26.06     2.67     9.95  2438.00
    729.17   286.34   268.04    27.62    -1.52     8.62  2743.00
    700.00   283.35   266.35    29.58     0.99    11.29  3091.00
    678.00   281.55   265.55    31.40     4.34    11.23  3355.20
    653.16   278.69   264.89    36.29     8.27     9.86  3658.00
    605.93   272.95   263.56    49.19    13.02    10.92  4267.00
    602.00   272.45   263.45    50.55    12.73    10.52  4319.77
    567.00   269.25   259.25    45.74     9.83     7.06  4794.82
    561.07   268.56   258.89    46.78     9.28     6.50  4877.00
    532.00   265.05   257.05    52.57     8.95     5.25  5293.10
    500.00   260.25   255.45    67.26     8.40     3.92  5770.00
    498.62   260.07   255.37    67.82     7.25     2.64  5791.00
    491.00   259.05   254.95    71.08     8.55     2.48  5908.29
    478.96   258.10   254.24    72.32    10.65     1.88  6096.00
    461.00   256.65   253.15    74.32    13.85     6.21  6384.95
    441.67   255.05   250.75    68.98    15.38    12.91  6706.00
    437.00   254.65   250.15    67.69    14.69    13.50  6785.65
    406.82   250.93   246.11    64.84     9.52    16.50  7315.00
    400.00   250.05   245.15    64.15     9.52    16.50  7440.00
    390.26   248.76   243.80    63.43    12.91    15.38  7620.00
    385.00   248.05   243.05    63.03    12.93    15.24  7719.02
    360.00   244.25   236.25    46.01    13.02    14.52  8203.35
    344.00   241.65   234.65    50.01    13.06    14.03  8527.01
    314.83   236.47   228.82    44.99    13.10    13.10  9144.00
    301.34   233.91   225.94    42.53    13.83    13.83  9449.00
    300.00   233.65   225.65    42.28    13.83    13.83  9480.00
    261.00   225.85   212.85    21.09    16.64    21.80 10416.98
    250.00   223.05   210.05    20.13    17.13    24.46 10700.00
    234.00   219.25   207.25    21.58    25.12    25.12 11128.87
    227.00   220.45   201.45     8.26    26.69    26.69 11324.65
    223.00   219.85   190.85     1.71    27.61    27.61 11439.41
    218.11   219.55   190.25     1.60    28.76    28.76 11582.00
    213.00   219.23   189.62     1.50    28.76    28.76 11734.48
    207.00   218.85   188.85     1.38    29.02    26.81 11918.25
    200.00   220.85   187.85     0.91    29.19    24.49 12140.00
    193.00   223.65   189.65     0.90    27.30    18.93 12371.52
    184.00   223.85   189.85     0.91    23.63    12.39 12683.94
    180.69   223.46   189.64     0.92    21.93    10.23 12802.00
    166.00   221.65   188.65     0.96    19.65    13.31 13354.44
    164.00   222.25   188.25     0.83    19.29    13.71 13433.10
    152.00   220.25   187.25     0.89    16.84    16.02 13924.66
    150.00   220.45   187.45     0.90    16.38    16.38 14010.00
    149.00   221.05   188.05     0.92    15.89    16.67 14053.33
    142.81   219.13   186.64     0.91    12.70    18.14 14326.00
    137.00   217.25   185.25     0.89    14.83    16.74 14593.27
    129.85   217.25   185.25     0.89    17.35    14.56 14935.00
    129.00   217.25   185.25     0.89    16.47    14.50 14976.83
    127.00   218.65   185.65     0.81    14.41    14.24 15076.76
    123.79   217.92   185.20     0.82    11.25    13.41 15240.00
    116.00   216.05   184.05     0.84     9.83    11.11 15654.56
    114.00   216.65   184.65     0.86     9.44    10.51 15764.97
    106.00   213.85   182.85     0.89     7.69     8.06 16224.53
    103.00   213.45   182.45     0.87     6.96     7.13 16404.52
    100.00   214.25   183.25     0.91     6.19     6.19 16590.00
     80.19   216.11   184.49     0.90     8.86     6.20 17983.00
     76.40   216.51   184.76     0.90     7.10     1.25 18288.00
     72.80   216.92   185.03     0.90     0.77     1.33 18593.00
     70.00   217.25   185.25     0.89    -3.09     5.35 18840.00
     69.36   217.30   185.27     0.89    -2.82     7.74 18898.00
     66.13   217.55   185.39     0.88    -0.88     2.42 19202.00
     52.04   218.84   185.96     0.84    -3.25     4.64 20726.00
     50.00   219.05   186.05     0.83    -3.98     1.07 20980.00
     47.33   219.42   186.31     0.83    -6.29     2.29 21336.00
     45.15   219.73   186.53     0.83    -6.70     5.62 21641.00
     41.10   220.35   186.97     0.83    -4.84    -1.76 22250.00
     37.41   220.98   187.41     0.84    -6.24     3.61 22860.00
     35.69   221.29   187.63     0.84   -10.14     1.79 23165.00
     34.05   221.61   187.86     0.84   -10.14     1.79 23470.00
     32.49   221.92   188.08     0.84    -7.89     6.62 23774.00
     30.00   222.45   188.45     0.84    -9.95     2.67 24290.00
     29.58   222.75   188.68     0.85    -9.95     2.67 24384.00
     28.25   223.73   189.43     0.86    -9.63     1.70 24689.00
     21.44   229.57   193.92     0.94   -12.92     3.46 26518.00
     20.48   230.54   194.66     0.95   -13.18    -2.32 26822.00
     20.00   231.05   195.05     0.96   -14.70    -2.59 26980.00
     19.58   231.22   195.16     0.96   -18.02     0.00 27127.00
     18.72   231.58   195.39     0.95   -13.85     1.21 27432.00
     17.13   232.30   195.85     0.95   -13.69     2.41 28042.00
     15.67   233.02   196.32     0.95    -9.07     7.61 28651.00
     14.99   233.38   196.55     0.95   -11.79     1.03 28956.00
     13.71   234.10   197.01     0.94    -8.86     4.13 29566.00
     13.12   234.46   197.24     0.94    -8.21     0.72 29870.00
     12.00   235.18   197.70     0.94   -13.33    -1.17 30480.00
     11.48   235.54   197.93     0.94   -12.13     5.65 30785.00
     10.50   236.25   198.40     0.94    -8.75     0.00 31394.00
     10.00   236.65   198.65     0.93   -12.43    -3.33 31730.00
